muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
CORB,"[8.814493448143395, 68.18013057400805, 38.3844485102854, 59.55548474643204, 39.83153764377887]","[22.03852567742477, 25.355243704323254, 11.856339326067115, 15.045882469771964, 4.82328241447758]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7483991626482212, 1.063655598211139, 0.15605857817685242, 1.1133835553399214, 0.47513142930224905]","[6.89216942969175, 11.460146557426617, 4.2543809407424185, 6.227923497357346, 5.047937971734856]","[136.99168, 173.14053, 70.886185, 166.03731, 70.4364]","[0.07403472222222222, 0.1605412326388889, 0.2923650173611111, 0.30162369791666666, 0.21937065972222222]"
DELT1,"[16.48062971513079, 17.57564713924829, 60.659327290815504, 2.5888257695398416, 15.048290986711194]","[9.087784374467914, 33.45742210596345, 6.109006535306364, 16.79992403521714, 28.97589006259112]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0086085709932537, 0.4031158294836077, 1.589462358704071, 0.2644095915826292, 0.8540814274605282]","[0.07163576289535856, 0.2694484312194767, 7.0182953103813706, 0.42631702143854167, 6.729322669605782]","[79.70721, 109.74001, 112.52469, 55.739536, 118.71495]","[0.23128862847222223, 0.2682560763888889, 0.10925868055555556, 0.2764474826388889, 0.08357899305555555]"
DELT2,"[22.365273308572753, 7.729245687419137, 4.292897288535446, 1.7094245194233224, 4.6888439863380285]","[33.9861348882607, 70.92057264410222, 4.979978420455387, 1.235039376221291, 50.44304691187028]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.8608533149366924, 0.6932758930831291, 1.9924173109651977, 3.5058850694704486, 2.536928466943529]","[11.287719054079052, 4.999527292901195, 2.6556291737014863, 5.11010074687223, 9.599243441536759]","[123.763145, 177.96036, 56.382202, 91.573814, 155.57233]","[0.13575130208333333, 0.2448515625, 0.13966015625, 0.06706206597222222, 0.07761024305555556]"
DELT3,"[1.7786465191695768, 13.657131350064537, 12.39545671444737, 36.49013651166822, 20.304734333136985]","[1.5014590102039165, 3.1914126392096485, 18.76871341261826, 4.070392683989205, 4.184144136969689]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7344513950439702, 0.6784809896880362, 0.5267409168643438, 2.44307276531283, 2.0072188831289575]","[5.094027440037966, 5.3223397403033985, 8.873934417386998, 10.446012400673304, 7.603949487594315]","[52.127705, 53.287727, 132.08276, 163.12805, 134.60307]","[0.01656684027777778, 0.062473090277777775, 0.061549913194444444, 0.17663585069444446, 0.10597569444444445]"
INFSP,"[66.88645061843333, 53.45187068477367, 50.57985436542247, 122.19962428842395, 57.63756909889855]","[9.053489287548029, 0.27518021489129296, 5.820577441635711, 7.603968445404721, 17.34249159511573]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.35255895544128274, 1.4213833602226886, 0.25298431093317175, 0.7450969269175344, 0.23514365694535755]","[5.955045366876468, 7.021254991329903, 0.006919700757910263, 0.04637771077010644, 0.04536732407353128]","[113.57893, 130.79448, 73.16184, 141.65256, 154.50244]","[0.10844661458333334, 0.07741883680555556, 0.2028771701388889, 0.20514539930555556, 0.20584461805555557]"
LAT1,"[1.1239123754386, 7.49833890923928, 16.6099394295009, 27.397453498726932, 10.678458871033357]","[50.94874347819366, 24.846258523042053, 6.684404493815331, 55.705624689783505, 42.45936469038223]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.9669031268365664, 1.4923773722358533, 2.9376631418908774, 3.180588902051425, 2.076058445416502]","[4.727288850968018, 2.9560683699313546, 8.025049356657323, 12.156247905790526, 6.439281910362109]","[114.95605, 55.82058, 85.52609, 123.52113, 85.67359]","[0.09000303819444444, 0.2369665798611111, 0.0405703125, 0.11180164930555556, 0.09769401041666667]"
LAT2,"[6.560604830281726, 8.12978650279286, 2.645090239551081, 21.673420552621906, 20.687124350280413]","[37.950787412964324, 55.55443271791996, 51.94905875085831, 42.5018623365648, 56.49628400074083]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.7178399861162914, 2.6282702208717086, 3.9699006435484083, 3.888470033420174, 2.8768753264597557]","[7.043974166805763, 10.675036741925584, 7.176834536016509, 10.81444333540602, 11.822158567460843]","[114.11856, 128.77602, 162.99162, 150.63956, 133.88261]","[0.09003342013888889, 0.07459461805555556, 0.09508984375, 0.16975043402777779, 0.13821354166666666]"
LAT3,"[31.110287822794835, 12.066666051712971, 11.021426563880436, 19.57562470584575, 12.781800271216241]","[62.01917581057724, 3.427689279777283, 0.6461382253017032, 40.83061644314338, 24.705731080253543]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.3501349923380292, 6.067090935944977, 2.2069062555804964, 1.8232078376156653, 3.115805210531109]","[11.883796972262836, 4.278827481045333, 3.8992974136245775, 5.584833671294351, 6.591237966778338]","[125.209816, 178.27295, 64.63433, 87.00875, 111.99679]","[0.11771310763888888, 0.19839453125, 0.09241319444444444, 0.35343359375, 0.07538454861111112]"
PECM1,"[12.278796915396207, 97.6840981229642, 39.960123578745225, 21.44663347526277, 26.885550315919602]","[13.280506706648003, 26.8749211807758, 23.873825486068462, 28.226066350520554, 22.722650400923154]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.10911788044785, 3.950780303439555, 3.453550856163636, 4.8588756664059485, 2.5055227084171308]","[1.9504480278869998, 11.878609068433864, 12.760417813158512, 14.72187801919498, 7.905734368405174]","[71.59105, 159.61792, 135.00902, 168.6166, 108.48541]","[0.24129947916666666, 0.22916883680555555, 0.04572005208333333, 0.03473914930555556, 0.06837196180555556]"
PECM2,"[3.4919868548240203, 1.715076077326696, 10.46229201017077, 39.42788711935379, 47.42734857410753]","[65.23356366014261, 16.896775608342363, 47.30589831927017, 35.65738816018805, 34.64961236220371]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.174087842161925, 1.5819283194637146, 2.8059042613557046, 2.206612406840982, 4.416227280180035]","[3.0958698735720285, 1.7669444685110682, 8.679427264058932, 7.7626724947564485, 11.954639690384498]","[136.34201, 55.549526, 119.284195, 87.52103, 149.91081]","[0.25375390625, 0.17824652777777777, 0.10867925347222222, 0.2802365451388889, 0.15435243055555556]"
PECM3,"[20.805905858079807, 37.323460682745605, 0.42911374302067884, 19.93175020360289, 49.75165533773516]","[18.116233201997606, 46.683228018009906, 35.23136154269616, 34.293676039699015, 50.51176154881512]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.6511620909027362, 2.7941824692011776, 3.1619648012588533, 2.658645684490034, 3.519760094463141]","[7.723769535571062, 15.062400446297666, 12.519399215031788, 6.832644773400342, 16.135769396155638]","[94.105804, 157.91321, 149.3402, 125.76558, 177.2505]","[0.20688064236111112, 0.17107986111111112, 0.06509331597222222, 0.3083033854166667, 0.32668576388888887]"
SUBSC,"[2.567132679942617, 46.04266198917987, 8.510521430146767, 14.100012754137563, 4.1584593975235435]","[6.644975836528591, 15.640665177240948, 14.13778555600923, 8.676423695731367, 10.681482646441264]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6149275708749639, 0.6761039686152728, 1.5312051932318402, 0.6177204130172638, 0.288765129706658]","[7.425502264789826, 13.086287057830955, 3.4857559259724944, 5.924150150043383, 5.841985868093059]","[77.82076, 143.28691, 164.79715, 89.41807, 83.61814]","[0.004915364583333333, 0.19458116319444443, 0.12285199652777777, 0.02743315972222222, 0.018500868055555557]"
SUPSP,"[3.0365667378426195, 26.91551850923917, 15.515902282440646, 12.154111408739983, 14.619360361698739]","[5.0555967586771615, 14.976127522968412, 2.426602362499386, 2.6004606680910047, 3.029619728622823]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6867912295255918, 0.05180302347403298, 0.5928949178589583, 0.5684447873488008, 1.0347200198798951]","[3.8488301742412236, 11.610003945833316, 4.502260029080958, 3.983212990476103, 5.99368716251694]","[100.322525, 162.22475, 73.1828, 71.6536, 119.72021]","[0.047637152777777775, 0.09078515625, 0.20771875, 0.14447135416666668, 0.09232942708333333]"
TMAJ,"[9.081253808678845, 29.66109017370036, 10.389664262889635, 21.392325401351265, 2.860486339728549]","[22.907350995864128, 53.16463939256106, 25.388068696374745, 50.78867260559895, 1.179488526444553]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.108028002442147, 2.7354827672252355, 1.2557524380765694, 1.1793544305842376, 1.0897911508825902]","[8.620701880084184, 9.376873018727803, 4.019641510907271, 6.520579816872296, 5.245846391662333]","[120.54922, 177.3264, 82.24982, 111.08959, 53.212025]","[0.041553385416666665, 0.17573350694444445, 0.15339105902777778, 0.2233064236111111, 0.0110703125]"
TMIN,"[26.77042423978281, 16.866853187884498, 7.983906362579937, 18.690765431983188, 17.805886736026192]","[6.698129195017632, 10.35025766862225, 7.467643704109868, 9.18349763051568, 13.153792211177887]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.28510329941640844, 0.2699732732575034, 0.3526092249150241, 0.06836457618422642, 0.1461928842977489]","[5.850171947031709, 1.5361008974022994, 0.6622537270447548, 2.343581176280218, 1.4111727565198549]","[100.967285, 82.36459, 76.354095, 81.41845, 91.60764]","[0.06268836805555555, 0.22814930555555554, 0.25689366319444445, 0.14811284722222223, 0.26532118055555554]"
ANC,"[7.873902213757177, 9.500695579946594, 18.48789087274516, 4.041174039267748, 22.278444249836447]","[12.93117319914682, 26.71197167823596, 12.855275122230282, 6.144182215438178, 16.299320457988483]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7156867826734747, 1.1138479712148408, 1.199555158154712, 0.6155701784478738, 1.5086620896140834]","[6.928317130903885, 5.633268080315472, 10.118734541814547, 5.175136030462664, 12.488332045995115]","[86.68391, 149.84619, 117.39598, 62.09532, 148.30728]","[0.08661588541666666, 0.15614409722222222, 0.3598125, 0.06604210069444444, 0.34759244791666666]"
BIClong,"[16.795951547077163, 7.913325493543994, 12.703077534969303, 28.387219914195484, 41.2161313179854]","[2.6663536803354155, 8.406602182030046, 13.891966967345564, 4.498722353160172, 13.335341841425272]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7651969736982331, 0.9735722545649255, 0.6035983495503165, 1.6533553600916182, 1.0555310927598454]","[6.336623101024649, 12.338179832694227, 3.338196628123961, 11.545841552482852, 10.214187401485079]","[71.89469, 126.56707, 137.91585, 141.65736, 174.7203]","[0.13999522569444445, 0.020762586805555556, 0.2705768229166667, 0.12145399305555556, 0.23811588541666667]"
