muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
CORB,"[31.219580071359903, 57.290988089046024, 59.55548474643204, 8.814493448143395, 73.62019956185455]","[11.193787846713954, 12.377478968907615, 15.045882469771964, 22.03852567742477, 24.23632892212709]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.18766068141943484, 0.7228167647319005, 1.1133835553399214, 0.7483991626482212, 0.4614053623859151]","[5.027126345635034, 6.551531010887346, 6.227923497357346, 6.89216942969175, 11.115078331387668]","[66.77613, 108.99866, 166.03731, 136.99168, 141.41306]","[0.17450260416666666, 0.26825, 0.30162369791666666, 0.07403472222222222, 0.19282074652777778]"
DELT1,"[24.508449565267625, 128.47453378862724, 20.087658235829146, 35.29836466587691, 12.733567286307753]","[14.339698731496746, 27.75544929775135, 9.906988958011464, 34.473002350920424, 20.13837073820383]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.537369280701813, 1.2995739877879091, 1.9443584776596428, 0.02143094509031762, 0.3461824196582657]","[9.635650239433199, 3.2257879664642073, 7.388460390694091, 1.9242762197346552, 0.14210510268516874]","[132.13148, 140.47742, 148.73044, 115.24213, 67.19851]","[0.03902300347222222, 0.19006857638888888, 0.04813888888888889, 0.20962934027777777, 0.2608958333333333]"
DELT2,"[0.21116396649181013, 5.777246728399469, 2.6968239564318353, 1.3867675149855074, 4.363764838420039]","[35.47209408274038, 9.912045577011309, 11.399355575406801, 1.816233862731016, 44.45634173750261]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3.279183434730034, 3.0263211110153465, 4.519322344399958, 2.569443344736163, 3.720829801973075]","[14.839322612461029, 7.058295296086915, 2.4705344896685997, 5.807817773161209, 11.816983275826894]","[150.16858, 92.64172, 128.02779, 70.413864, 170.63681]","[0.02587673611111111, 0.054422743055555556, 0.2026579861111111, 0.03584765625, 0.055737413194444446]"
DELT3,"[36.49013651166822, 42.153830665003454, 2.9870398687999824, 35.50407845154958, 19.450557090060443]","[4.070392683989205, 6.617712712339397, 21.753386362388547, 11.08918480892407, 17.06965857880317]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.44307276531283, 1.992195738467065, 0.32361631806533353, 1.001251168086882, 1.2295563936852973]","[10.446012400673304, 13.658399344268261, 4.932827225588419, 8.175399498904147, 6.020631398036469]","[163.12805, 143.4866, 132.74187, 117.29075, 150.41978]","[0.17663585069444446, 0.10154427083333334, 0.10455251736111111, 0.31592491319444443, 0.18978168402777779]"
INFSP,"[42.16126652013695, 53.39953128598787, 7.325729312543224, 27.181868797723016, 57.63756909889855]","[7.816066099420514, 3.865795507207743, 16.055483883621868, 1.8897136285232108, 17.34249159511573]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.5172351648978148, 1.295514160898609, 0.2124759739278863, 0.40696775878421665, 0.23514365694535755]","[5.84406821225605, 10.932812520284815, 0.3123760661126145, 0.015977297980614757, 0.04536732407353128]","[110.895966, 150.31801, 139.47427, 51.23484, 154.50244]","[0.08529991319444444, 0.05513107638888889, 0.22797873263888888, 0.20507161458333334, 0.20584461805555557]"
LAT1,"[7.465597397975703, 2.4295515974390796, 10.72605828033744, 28.86276724906972, 4.529400002326739]","[21.333615792866834, 13.826298342200372, 67.93665562773337, 47.69015107364376, 18.43192253119434]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.5410536366592875, 2.1009175383788126, 4.806674000714988, 3.3287284144052927, 4.73695307173593]","[2.921641494223134, 6.2401125140911216, 4.435385850761103, 10.570548283680896, 4.6121774465917085]","[54.828312, 69.79355, 170.84312, 119.99495, 140.73543]","[0.22811371527777777, 0.01419314236111111, 0.28188715277777776, 0.26237803819444444, 0.0844140625]"
LAT2,"[3.0120726721901008, 20.687124350280413, 4.4600817589823905, 4.228966730696527, 24.442253081552337]","[17.08310369593693, 56.49628400074083, 11.67284569897191, 20.593588903694563, 43.72160350869256]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.160631607340929, 2.8768753264597557, 3.2377992413398333, 2.6307548554935103, 2.878252804815171]","[3.8544387580806068, 11.822158567460843, 3.3837053443884013, 7.060043933389583, 11.557779585776247]","[79.81949, 133.88261, 107.93493, 99.23577, 122.21612]","[0.08261328125, 0.13821354166666666, 0.13801519097222223, 0.04448003472222222, 0.19101258680555555]"
LAT3,"[11.021426563880436, 9.161473284225792, 7.433517820240382, 22.717853560236094, 12.781800271216241]","[0.6461382253017032, 4.919092626983431, 67.99242989844957, 47.11000488516464, 24.705731080253543]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.2069062555804964, 2.781405849036994, 2.921205363961824, 4.081212249368674, 3.115805210531109]","[3.8992974136245775, 4.246063588237338, 7.412227200155012, 7.414914436215836, 6.591237966778338]","[64.63433, 85.4492, 147.73042, 156.77151, 111.99679]","[0.09241319444444444, 0.07777560763888888, 0.10943446180555555, 0.20138802083333332, 0.07538454861111112]"
PECM1,"[2.1908277527643847, 27.061815963405195, 6.923663903381222, 102.20688815334401, 27.53156604135704]","[30.712327781101504, 11.064940567195501, 20.62559390003188, 56.25994941847909, 10.044936362903709]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.4307362942417963, 2.3724801250994463, 0.6854203889056403, 0.20732850159050464, 2.5490706529954577]","[4.763953407808288, 5.318031101212203, 3.3028170557707264, 13.157582958864175, 3.444876244523287]","[117.9127, 79.08819, 63.41517, 161.8581, 82.3807]","[0.09463585069444444, 0.12305946180555556, 0.08824913194444445, 0.2283359375, 0.25232769097222224]"
PECM2,"[2.6066141515007217, 17.82705836556789, 30.751235813098177, 26.658859465907845, 3.4919868548240203]","[64.99773206391356, 34.58044801450324, 20.90767411110951, 41.53899817223396, 65.23356366014261]","[1.0, 1.0, 1.0, 1.0, 1.0]","[4.219070991695449, 1.883865202965231, 4.6375039632710315, 3.5376644056448296, 2.174087842161925]","[14.999964695906762, 6.157139459828439, 9.806849133103535, 8.253304689653405, 3.0958698735720285]","[175.80551, 83.41471, 154.77138, 124.30276, 136.34201]","[0.0842912326388889, 0.1452751736111111, 0.10616753472222222, 0.15729079861111112, 0.25375390625]"
PECM3,"[0.4310924391546074, 2.7892807161096336, 19.043618255733904, 7.09585720163485, 7.4508559603340885]","[2.2264661202776708, 12.81531895907652, 35.41154501938935, 30.699695740734725, 43.07851224220621]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.372272796202758, 1.7915828808899437, 0.6826720799387651, 0.894978426367032, 0.1733163818126373]","[5.057271559017039, 4.83252935524226, 7.109670535485279, 9.011040811634992, 3.8201704113739865]","[51.006943, 66.49293, 94.31517, 91.07731, 109.30843]","[0.03211067708333333, 0.08227734375, 0.24865581597222222, 0.07585199652777778, 0.25611631944444446]"
SUBSC,"[16.01401809263386, 33.0673337470362, 0.13253365138787387, 54.468733512781256, 2.567132679942617]","[18.27750652109888, 2.5020228537032203, 22.574775518030957, 14.689406515328418, 6.644975836528591]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9400374239894269, 1.2814580678552776, 0.8576533574709551, 0.9612532146927926, 0.6149275708749639]","[5.590276940902088, 8.910733588424904, 2.2144010850913123, 14.936402647518634, 7.425502264789826]","[162.00716, 127.882744, 178.33968, 154.70297, 77.82076]","[0.10524348958333334, 0.27178559027777777, 0.11900564236111111, 0.24831553819444444, 0.004915364583333333]"
SUPSP,"[14.349605561275872, 3.0365667378426195, 26.91551850923917, 41.75634580253181, 3.6765162680507046]","[10.885393693814603, 5.0555967586771615, 14.976127522968412, 9.466572362342465, 13.42682255256145]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.009158876941622651, 0.6867912295255918, 0.05180302347403298, 0.3773094503985899, 0.30069680751534644]","[4.396327680518649, 3.8488301742412236, 11.610003945833316, 12.449521840368973, 6.005073049169948]","[110.454124, 100.322525, 162.22475, 138.64946, 153.4811]","[0.19965668402777778, 0.047637152777777775, 0.09078515625, 0.19538628472222222, 0.054475260416666664]"
TMAJ,"[49.73520334586171, 15.45518346557332, 0.09431993799299221, 44.84960838957009, 9.318395199702827]","[50.667211433709845, 37.41758437088284, 1.2521893110761972, 32.77461676560692, 12.904247500946976]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.2863566479362225, 0.7111140998986634, 1.1242674698050978, 2.457569670070156, 0.8489282875267794]","[12.745082283115813, 4.579428340162761, 1.9704566318411985, 14.568067222433115, 2.81286029307005]","[158.24399, 76.812325, 51.610367, 149.59613, 51.32288]","[0.26032421875, 0.23887369791666666, 0.05647482638888889, 0.07087586805555555, 0.16741319444444444]"
TMIN,"[47.241666226003204, 33.733980654629704, 3.880526131191658, 12.5082004879614, 26.77042423978281]","[2.558512321528987, 6.075457062145762, 10.317049866927839, 8.680935291202651, 6.698129195017632]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.5008978054616389, 0.42037119257395084, 0.5774433010236795, 0.056148890094094295, 0.28510329941640844]","[4.373204786610334, 2.738901738525599, 0.5866571469302118, 0.8533813306201132, 5.850171947031709]","[156.06633, 121.47393, 115.98897, 61.966137, 100.967285]","[0.21678862847222222, 0.25819618055555554, 0.20951432291666666, 0.3012504340277778, 0.06268836805555555]"
ANC,"[20.56376481976715, 7.739623318364153, 0.8933026639306547, 2.2295498071530915, 0.25120156146206085]","[15.861709079430984, 9.427647250351043, 19.026529098658493, 26.683439135341704, 19.90024657210194]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.375936262090426, 1.6916374116098458, 0.266652338295704, 0.24919785570738195, 0.16800084993018416]","[10.625192574052864, 13.841733222745148, 9.406498891121842, 1.8566876805659875, 10.115495954268038]","[137.0027, 152.35971, 100.42844, 127.42485, 103.88122]","[0.39315060763888887, 0.04794401041666667, 0.06531336805555556, 0.1911892361111111, 0.06279991319444445]"
BIClong,"[37.569279650331936, 7.8114991838771175, 36.37806316760687, 37.00240613093697, 8.824639186346545]","[11.358406334415989, 2.5471642290376764, 5.118008706756534, 9.462873131848283, 6.523346850759612]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.725644656302129, 2.0929776061306375, 2.005666563426571, 0.4134457524268962, 0.1356716102311175]","[14.100964839773205, 7.591430085819536, 13.234393592932582, 8.468223290389078, 5.066592476554401]","[145.7183, 163.58708, 169.33072, 109.7525, 61.2717]","[0.14896440972222222, 0.07507204861111111, 0.15773784722222223, 0.24595833333333333, 0.050203993055555556]"
BICshort,"[41.53701671231691, 56.59787665497296, 38.9985749898177, 16.506493190106212, 21.968874004978574]","[18.55031378454261, 8.823559115492047, 41.13206256622676, 14.737043196870024, 13.5571191177235]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.6120352535678384, 1.3084082132249026, 0.5961395564620542, 0.6845125497588698, 1.3415069158439734]","[6.050712110339139, 6.439006470623141, 0.762658046996572, 6.43295256628012, 5.955073706260389]","[128.18782, 98.881645, 159.35971, 73.64775, 102.50969]","[0.17133506944444443, 0.16258159722222223, 0.2718046875, 0.06965928819444445, 0.11278472222222222]"
BRA,"[1.4879587908609366, 6.64290613582633, 11.541196965611782, 12.610791854467571, 35.788870879636775]","[24.696995623410235, 45.28260860330042, 6.967772012989496, 29.5469862399218, 54.761478836964976]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.42871875645444213, 0.3601788730271043, 2.2847520353094226, 1.3985185982909911, 2.39002271801795]","[3.0402258306809995, 5.679423736047407, 9.470034002328946, 4.09782427447628, 14.62063424427901]","[66.64483, 117.87741, 106.988434, 91.94729, 170.91599]","[0.12253081597222222, 0.13181727430555557, 0.05021267361111111, 0.30641276041666665, 0.13177560763888888]"
BRD,"[7.780424175550028, 16.091978162652822, 2.6382209421504683, 1.033172082147388, 19.851540090349083]","[18.085517407104998, 16.33331516065392, 4.908704636400049, 31.522247379200074, 16.84778371481498]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.295291494402123, 2.0782747117133793, 1.4793700152542, 0.7506290122605641, 1.2088354848342782]","[3.8460190800860827, 8.042236629034349, 2.4585901687953684, 3.740780263872039, 8.098078825802975]","[76.93906, 163.42586, 113.87168, 139.19994, 103.89717]","[0.28708506944444445, 0.25795269097222223, 0.1447834201388889, 0.15454817708333332, 0.3181675347222222]"
ECRL,"[7.7612160706293025, 1.3037841739543268, 9.004440023001983, 1.0181167431202596, 14.966286182400083]","[21.19446713173738, 5.7308795971492295, 43.540095805361375, 24.45892814898157, 2.4393928179463416]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8005358595801266, 0.9739004294216427, 0.7867936007596814, 2.414747276488331, 2.824072958635936]","[4.82257190509897, 4.971483818241525, 3.7697114577641373, 13.133625913095505, 7.542634298702506]","[72.92502, 55.037235, 130.75851, 147.45866, 142.2754]","[0.12567578125, 0.046908854166666666, 0.3229696180555556, 0.054875, 0.12260069444444445]"
PT,"[13.525356527483265, 16.05220926547637, 23.3954371118013, 1.3499073356171962, 24.298569761589796]","[16.36312971815065, 12.890576003664304, 34.26595928005733, 23.653980318151582, 30.891267170956972]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.021256693349323452, 2.002221363603993, 1.2839004825992237, 0.3723014785343137, 0.2891127975785306]","[4.3727234739284615, 8.615444365556407, 8.57617539059206, 8.171524689539915, 8.982235685331986]","[53.159958, 116.28259, 127.464905, 82.44461, 101.71194]","[0.23647786458333334, 0.06673350694444445, 0.12709852430555554, 0.06507725694444444, 0.11398263888888889]"
TRIlat,"[6.125593419723046, 6.601338334007011, 35.44050605778337, 7.2250138723718536, 2.4180248438770704]","[31.74033828288137, 19.539313557463903, 60.32911160797207, 28.769318048250803, 38.210715856178055]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3.658004923134614, 1.9885015620392354, 0.7868484242156004, 0.3163673548330097, 0.43866408920604893]","[16.96628002051183, 2.559951335279917, 13.218564832268985, 6.739179493799892, 0.9311118389771256]","[169.6638, 88.59154, 159.09067, 77.734505, 96.7986]","[0.04264626736111111, 0.18351258680555554, 0.12969010416666665, 0.0795234375, 0.2887925347222222]"
TRIlong,"[7.102612652785766, 5.554977418896939, 9.342802377994126, 23.273270249356436, 0.8737148732537463]","[17.174599046619264, 49.206357188113934, 18.340782401926788, 5.1618729082087675, 44.730148753632115]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3.150951058996257, 1.823386022024457, 2.4462189025966614, 1.4288958820045483, 0.7154890112122088]","[0.4984858278391382, 0.7369780096522387, 4.094220694481264, 0.8860215526623105, 1.6378425404592898]","[153.06598, 180.30934, 129.18445, 70.54333, 136.16049]","[0.18013368055555556, 0.23993619791666668, 0.07445789930555556, 0.016334635416666667, 0.2571822916666667]"
TRImed,"[22.715416260440968, 24.93130473960622, 8.941478438204015, 2.617754708106748, 16.384468390655243]","[39.900171663971385, 48.7179352430465, 1.6974700458760363, 2.7296588720335357, 23.669839668165142]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.988213643973359, 2.007281486369372, 1.486951127880506, 1.3570828848719176, 1.2346459143665989]","[11.930852913997779, 8.30082927860517, 5.746080295574858, 1.2571041978605193, 7.670754514292361]","[131.25824, 144.5006, 58.538704, 50.988525, 78.856186]","[0.09141927083333333, 0.24072569444444444, 0.03770269097222222, 0.17522960069444443, 0.09437717013888888]"
