muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
PECM3,"[9.719306544707912, 16.568143847595245, 7.09585720163485, 1.2554108429818385, 4.214815423891828]","[25.255579088364144, 51.540152675261226, 30.699695740734725, 31.686393674436204, 14.97067696164898]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.6669079297894425, 0.06360533362016074, 0.894978426367032, 1.8855979064097141, 2.272579582110855]","[5.433272904801863, 6.448404105477587, 9.011040811634992, 9.503263864221857, 2.048485249202968]","[88.80594, 131.00644, 91.07731, 113.4494, 77.54029]","[0.15047786458333334, 0.2803745659722222, 0.07585199652777778, 0.07081857638888889, 0.2591128472222222]"
SUBSC,"[18.320853164830226, 0.13253365138787387, 33.0673337470362, 7.026696447586623, 18.682000956354827]","[1.9349119270379518, 22.574775518030957, 2.5020228537032203, 11.01146832798016, 8.488790822338693]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.2586784648036646, 0.8576533574709551, 1.2814580678552776, 0.5939135586117725, 1.670524340615395]","[5.368447369954161, 2.2144010850913123, 8.910733588424904, 2.75932672669943, 9.337880282596526]","[125.92489, 178.33968, 127.882744, 98.15884, 170.75803]","[0.1512426215277778, 0.11900564236111111, 0.27178559027777777, 0.10618967013888889, 0.02165668402777778]"
SUPSP,"[37.235162483503466, 4.00079221804117, 31.513841248578874, 26.08085632978174, 3.6765162680507046]","[0.38040942092013097, 2.3861170610523246, 11.190449757587317, 1.7534898072407046, 13.42682255256145]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.3375585023468037, 0.8820882495912326, 0.06737639388275163, 1.267504427903459, 0.30069680751534644]","[13.051358348466323, 7.64198330979048, 9.334667549775547, 10.29221818591331, 6.005073049169948]","[140.16301, 108.377106, 126.972626, 139.26974, 153.4811]","[0.10920052083333333, 0.017910590277777777, 0.2017855902777778, 0.08360286458333334, 0.054475260416666664]"
TMAJ,"[44.84960838957009, 49.73520334586171, 12.691900831834815, 13.345534962744392, 21.538604139112977]","[32.77461676560692, 50.667211433709845, 83.51843184185138, 1.091392609085002, 49.15872057899749]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.457569670070156, 2.2863566479362225, 0.841786386629134, 1.503717225745329, 0.8802947483957757]","[14.568067222433115, 12.745082283115813, 15.73561986602146, 3.302457391521361, 6.410312902972011]","[149.59613, 158.24399, 169.57207, 68.62766, 99.82497]","[0.07087586805555555, 0.26032421875, 0.08187543402777778, 0.26018359375, 0.22968836805555556]"
TMIN,"[33.94288369275624, 15.381722158488767, 47.241666226003204, 21.634033463457094, 10.90937748182067]","[12.524340983395405, 13.1608729587611, 2.558512321528987, 16.50071238248501, 10.822467169165499]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.34769005959113386, 0.0008720386565830296, 0.5008978054616389, 0.3078601833624761, 0.172133368059401]","[7.213442573563916, 2.9347493433622356, 4.373204786610334, 4.607326501065548, 0.7254575438916504]","[137.97404, 90.88673, 156.06633, 125.71521, 78.40054]","[0.07359635416666667, 0.1092048611111111, 0.21678862847222222, 0.09199131944444444, 0.30456684027777775]"
ANC,"[5.810104765579638, 9.500695579946594, 9.928730247764776, 1.6253556422233935, 7.739623318364153]","[8.99471725206462, 26.71197167823596, 28.005693004927384, 10.553853277902, 9.427647250351043]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.4332618294895134, 1.1138479712148408, 1.050106436810558, 0.30886566946707905, 1.6916374116098458]","[3.8357539647806673, 5.633268080315472, 13.803017393907552, 3.40134083815548, 13.841733222745148]","[54.627113, 149.84619, 161.60559, 57.321995, 152.35971]","[0.11052777777777778, 0.15614409722222222, 0.0780703125, 0.09484548611111111, 0.04794401041666667]"
BIClong,"[41.1024914877645, 31.566386329656673, 37.00240613093697, 7.8114991838771175, 5.739036272696865]","[8.104348680804524, 20.169375633044556, 9.462873131848283, 2.5471642290376764, 11.500569577917584]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.2606106546256814, 0.07233718486086893, 0.4134457524268962, 2.0929776061306375, 0.500938437098335]","[15.314574750356801, 15.736052008910576, 8.468223290389078, 7.591430085819536, 4.8924978557530245]","[153.9613, 172.27937, 109.7525, 163.58708, 114.77135]","[0.1393203125, 0.06972005208333333, 0.24595833333333333, 0.07507204861111111, 0.08282378472222222]"
BICshort,"[56.59787665497296, 65.2350439629025, 35.60877767724496, 40.73934811922897, 41.53701671231691]","[8.823559115492047, 3.7463858128605594, 22.747591628389152, 0.5974144350213564, 18.55031378454261]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.3084082132249026, 2.21128000723603, 0.06559949735103388, 1.2975947301763107, 1.6120352535678384]","[6.439006470623141, 9.410564415959833, 9.879522008045786, 0.18263320142145867, 6.050712110339139]","[98.881645, 149.28024, 102.08603, 81.614105, 128.18782]","[0.16258159722222223, 0.13571223958333334, 0.10200086805555555, 0.2506614583333333, 0.17133506944444443]"
BRA,"[26.274451659270632, 19.279757865425253, 14.880989782035869, 13.627142419394097, 19.69942418069155]","[11.498089226613441, 21.53986968525639, 46.222458877956775, 39.70664918137196, 33.457681832328774]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3.503002509634765, 2.304935192248174, 3.1812206673544408, 1.7122448316262178, 2.0593878049061747]","[9.423974207633911, 6.797252293696099, 11.458051845286242, 10.200365904936078, 7.285010879546396]","[155.80066, 108.149536, 171.6746, 125.90094, 115.31507]","[0.23624479166666668, 0.25401171875, 0.09873307291666666, 0.09231163194444444, 0.25315625]"
BRD,"[1.033172082147388, 6.670447652300986, 9.680480126073725, 3.4739613625886534, 0.34385541901687233]","[31.522247379200074, 25.87293608895999, 26.631739275170254, 6.05719802968413, 6.1884478596373125]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7506290122605641, 0.6912249099990708, 0.6364194665004064, 1.5585022583651456, 0.7194965203752317]","[3.740780263872039, 11.177786677416623, 6.476206534650784, 8.766488023990208, 3.35099083079771]","[139.19994, 122.69052, 118.578064, 126.20489, 60.56618]","[0.15454817708333332, 0.07910633680555555, 0.1389396701388889, 0.056655381944444444, 0.07842100694444444]"
ECRL,"[10.481884254571288, 10.614185158901819, 1.0533747288261566, 4.536272840624019, 7.7612160706293025]","[21.169739534928542, 48.15910783988076, 32.62278230045433, 19.551033899118597, 21.19446713173738]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.051834493270952, 1.5845289528770188, 0.05879268438821317, 0.4975436566793636, 0.8005358595801266]","[4.529220555035222, 5.550561132149534, 9.579036025458525, 2.578332428757817, 4.82257190509897]","[77.57694, 157.63176, 102.04219, 61.589424, 72.92502]","[0.27275086805555554, 0.1860078125, 0.07311328125, 0.16889713541666668, 0.12567578125]"
PT,"[1.2861749036598198, 4.777858672117205, 0.1494252114049246, 36.27288844710256, 21.22826826823747]","[3.9575163577417953, 42.24231561815092, 34.926334769465726, 33.45049893248838, 15.888448178103902]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.8042559309926656, 2.185102644590364, 1.1352901000550455, 0.04950841565301811, 1.6217309547433982]","[5.933010834933885, 2.361893363655973, 2.090173285892458, 10.346118730881432, 7.176368008733838]","[94.05368, 167.75557, 122.68975, 109.623566, 100.90885]","[0.058060329861111114, 0.2115642361111111, 0.18306553819444443, 0.2638255208333333, 0.2010230034722222]"
TRIlat,"[15.258192195010658, 19.20138857295664, 26.298330523920164, 27.358482699067615, 2.2007804825562687]","[28.060175616052774, 40.0185613455502, 65.81003575708998, 13.86578686819307, 19.746323859642175]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7949674386116303, 0.7534256440184288, 0.6653670837491594, 3.430777577463626, 2.350910963327905]","[4.361530628076306, 8.29174636889248, 12.107287242435545, 7.213823782207987, 1.2885087445354992]","[76.78094, 107.96784, 172.36034, 125.1423, 99.40298]","[0.24850347222222222, 0.11293055555555556, 0.11591449652777777, 0.30266493055555554, 0.21099522569444445]"
TRIlong,"[90.40375648211638, 2.411508944647366, 10.313715339573221, 0.6485770400318884, 19.622538995077697]","[31.2089740113011, 6.519142611105987, 31.947018475319787, 22.58752496746705, 25.21928250272944]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9924465265473816, 1.0538216806837324, 2.6054257108371575, 1.9637673717031379, 1.1386082059871727]","[3.296474175758468, 0.18869618916658837, 1.5573317042644357, 1.2228781086250269, 8.592265877420566]","[178.8738, 52.16395, 161.78487, 112.74947, 118.92796]","[0.009095052083333333, 0.17995355902777777, 0.14047309027777777, 0.23428645833333334, 0.024224826388888888]"
TRImed,"[5.363380331084528, 18.896059622920788, 16.384468390655243, 7.860758231144409, 25.80458386836367]","[49.89580801443318, 15.363117899097839, 23.669839668165142, 27.395896081620954, 64.8511652525892]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.18004935143221967, 3.2350614321186435, 1.2346459143665989, 0.18851179142396957, 1.6674095140904974]","[2.1029178891885882, 7.068896294749775, 7.670754514292361, 4.010601986749093, 14.700237482421885]","[123.50009, 120.59121, 78.856186, 69.83256, 179.4333]","[0.2648255208333333, 0.16271310763888888, 0.09437717013888888, 0.13624739583333334, 0.10118098958333334]"
