muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
CORB,"[9.224392729496039, 59.55548474643204, 71.9263668590627, 68.18013057400805, 25.283597327506357]","[18.352466564021874, 15.045882469771964, 11.182877727935004, 25.355243704323254, 10.598206319390354]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.422704073787882, 1.1133835553399214, 1.0893317721794151, 1.063655598211139, 1.0447674891240304]","[1.9876539366523005, 6.227923497357346, 12.517160236880006, 11.460146557426617, 5.975767518512364]","[103.8125, 166.03731, 165.21819, 173.14053, 158.50491]","[0.22559939236111112, 0.30162369791666666, 0.11133203125, 0.1605412326388889, 0.07213237847222222]"
DELT1,"[90.18074757084737, 127.46631356567235, 11.753954410881637, 4.228775781313043, 61.84004798924011]","[18.515980303511245, 20.339800491771683, 0.6071146833977004, 3.3943637810147393, 26.88866018087169]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.2107576022935405, 1.512797506000786, 1.1910142630248215, 0.7899378410439679, 0.3713710198926172]","[16.45784617816918, 6.875873412285775, 7.60032906023436, 3.463580176833513, 7.863971016332605]","[177.2184, 139.52074, 84.74053, 60.576973, 109.76928]","[0.07566840277777778, 0.1645859375, 0.01167404513888889, 0.04118359375, 0.12619227430555555]"
DELT2,"[9.95442008097821, 5.929427801072379, 0.21116396649181013, 4.363764838420039, 29.047846539135783]","[48.94651997674245, 36.86030611943703, 35.47209408274038, 44.45634173750261, 7.722452174040704]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.6984255261955035, 3.2224305126239066, 3.279183434730034, 3.720829801973075, 4.429954810078552]","[4.7230000929049245, 2.890168569028059, 14.839322612461029, 11.816983275826894, 11.385389639561993]","[123.394005, 136.54376, 150.16858, 170.63681, 115.91341]","[0.2703111979166667, 0.2912074652777778, 0.02587673611111111, 0.055737413194444446, 0.23417621527777777]"
DELT3,"[29.769022751352413, 10.277922749563082, 13.657131350064537, 24.69406098192183, 35.50407845154958]","[4.038444833078483, 3.459757692708436, 3.1914126392096485, 15.123000369795683, 11.08918480892407]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.5966431388660158, 2.2032805796304915, 0.6784809896880362, 0.4123151070075419, 1.001251168086882]","[10.941468953013104, 9.075005725585338, 5.3223397403033985, 6.48603632626304, 8.175399498904147]","[112.93823, 146.9416, 53.287727, 109.966736, 117.29075]","[0.07054079861111111, 0.052305555555555557, 0.062473090277777775, 0.24829557291666668, 0.31592491319444443]"
INFSP,"[122.19962428842395, 11.548247053620848, 25.62655544316656, 67.19754443180236, 66.88645061843333]","[7.603968445404721, 1.2190340466035412, 0.22580317988329668, 4.3718330799629825, 9.053489287548029]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7450969269175344, 0.5038580214105544, 0.6424421451757851, 0.7916448034018693, 0.35255895544128274]","[0.04637771077010644, 2.0764958611759736, 0.04320103633910177, 0.02622997183672382, 5.955045366876468]","[141.65256, 51.903347, 57.0782, 108.24997, 113.57893]","[0.20514539930555556, 0.06886241319444444, 0.20126085069444444, 0.20576519097222223, 0.10844661458333334]"
LAT1,"[2.4295515974390796, 16.6099394295009, 4.279201760051777, 2.4276093523467317, 3.45743153643469]","[13.826298342200372, 6.684404493815331, 58.69747103339782, 21.683478365532814, 12.511986231837932]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.1009175383788126, 2.9376631418908774, 3.700843375208043, 1.5290706508771705, 3.9096941763706177]","[6.2401125140911216, 8.025049356657323, 5.4704488166107454, 1.1456119689977822, 3.687846933188059]","[69.79355, 85.52609, 138.70901, 54.412262, 114.58154]","[0.01419314236111111, 0.0405703125, 0.10759982638888889, 0.26133550347222223, 0.08277517361111111]"
LAT2,"[20.067195633111822, 3.266534615993841, 23.23675724983444, 6.365817779916561, 3.0120726721901008]","[38.24344826862098, 9.72902635493631, 24.2769953132781, 23.118052598480602, 17.08310369593693]","[1.0, 1.0, 1.0, 1.0, 1.0]","[4.733818679625305, 1.5434644643868571, 4.770422640797656, 2.411579375458304, 2.160631607340929]","[8.814415412703934, 1.8558603765768558, 11.991624230103834, 3.700397894026321, 3.8544387580806068]","[171.51645, 54.094646, 165.35098, 90.31397, 79.81949]","[0.3327521701388889, 0.18884939236111112, 0.11721788194444445, 0.1825876736111111, 0.08261328125]"
LAT3,"[31.94029896818457, 11.021426563880436, 22.553654597680442, 31.110287822794835, 6.238711348077356]","[40.137016635514264, 0.6461382253017032, 21.468181285474323, 62.01917581057724, 1.9912574479305203]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3.4723118039055785, 2.2069062555804964, 1.8394461166721083, 2.3501349923380292, 1.6532850901306837]","[9.258777209714854, 3.8992974136245775, 6.621273663745297, 11.883796972262836, 3.7329702882940126]","[132.39777, 64.63433, 70.25808, 125.209816, 51.031105]","[0.29758506944444446, 0.09241319444444444, 0.25142621527777775, 0.11771310763888888, 0.03631597222222222]"
PECM1,"[13.109052791744773, 68.75087875236902, 11.5150145349366, 102.20688815334401, 36.52174606616537]","[7.147937236033936, 15.291398290021977, 21.13624108588823, 56.25994941847909, 36.619964846000315]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.675063550012643, 3.9139174578657467, 0.5758707273686743, 0.20732850159050464, 1.8094172785505505]","[8.315935794992466, 12.455798613409833, 4.774940255107962, 13.157582958864175, 9.449450615534728]","[90.041916, 135.20728, 64.885254, 161.8581, 130.83102]","[0.022801215277777776, 0.11971614583333333, 0.06378081597222222, 0.2283359375, 0.08559201388888889]"
PECM2,"[4.263754229798668, 51.87605146274883, 44.30168467785562, 39.42788711935379, 2.6066141515007217]","[29.576366849722966, 44.83315311402513, 4.302665029127031, 35.65738816018805, 64.99773206391356]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.1266113068350876, 5.432057967026763, 3.089990132307042, 2.206612406840982, 4.219070991695449]","[2.056864863798364, 10.271014363408282, 10.22349973998385, 7.7626724947564485, 14.999964695906762]","[63.805294, 179.86153, 107.20349, 87.52103, 175.80551]","[0.22919618055555555, 0.2845685763888889, 0.12730902777777778, 0.2802365451388889, 0.0842912326388889]"
