muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
CORB,"[32.18979941299829, 75.78266388815103, 9.224392729496039, 28.351262071636324, 5.014386060350123]","[6.743460458639596, 2.2218681313029585, 18.352466564021874, 18.168473330297772, 3.397608847790371]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.32962402411601, 0.766040263999229, 0.422704073787882, 0.17012424197739762, 0.4179130362554173]","[4.895657588099597, 9.604292213704756, 1.9876539366523005, 7.621119756368014, 6.154792567646424]","[51.977123, 110.675575, 103.8125, 117.2126, 67.47001]","[0.16908854166666668, 0.2134375, 0.22559939236111112, 0.07201953125, 0.0021328125]"
DELT1,"[60.659327290815504, 128.47453378862724, 4.228775781313043, 25.827107438821784, 15.048290986711194]","[6.109006535306364, 27.75544929775135, 3.3943637810147393, 24.83555006752994, 28.97589006259112]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.589462358704071, 1.2995739877879091, 0.7899378410439679, 1.0444573905090198, 0.8540814274605282]","[7.0182953103813706, 3.2257879664642073, 3.463580176833513, 3.0690439693906995, 6.729322669605782]","[112.52469, 140.47742, 60.576973, 114.995415, 118.71495]","[0.10925868055555556, 0.19006857638888888, 0.04118359375, 0.16431640625, 0.08357899305555555]"
DELT2,"[10.165017428315824, 17.659657754330148, 29.629907851583095, 5.929427801072379, 32.66887002628783]","[25.523119588216694, 2.746699070247253, 7.995018175118645, 36.86030611943703, 23.4586234999493]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.22269858747311844, 6.077152778299384, 4.180063428802032, 3.2224305126239066, 4.957535236720204]","[5.990645942433724, 8.457026831606246, 10.75203079598623, 2.890168569028059, 12.890386261911866]","[65.77512, 151.73637, 109.356606, 136.54376, 152.53033]","[0.12214626736111112, 0.18208984375, 0.3416666666666667, 0.2912074652777778, 0.24563064236111112]"
DELT3,"[19.248314081935753, 20.022103295357468, 10.746842454142502, 19.450557090060443, 10.412625598507702]","[6.920588971685163, 0.6360268597073429, 13.896449254904802, 17.06965857880317, 18.60103947300516]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.4124705577947414, 2.240379986033769, 1.7566216579645175, 1.2295563936852973, 1.1917340796178868]","[9.810220906977605, 7.107178410874892, 3.2544836193327793, 6.020631398036469, 6.828227212168227]","[108.19041, 142.83643, 149.13243, 150.41978, 154.87755]","[0.04411501736111111, 0.12438541666666666, 0.2369704861111111, 0.18978168402777779, 0.0902756076388889]"
INFSP,"[32.54605649639058, 67.19754443180236, 42.16126652013695, 7.325729312543224, 122.19962428842395]","[4.464541416276749, 4.3718330799629825, 7.816066099420514, 16.055483883621868, 7.603968445404721]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.1432585659153262, 0.7916448034018693, 0.5172351648978148, 0.2124759739278863, 0.7450969269175344]","[2.2400760182390957, 0.02622997183672382, 5.84406821225605, 0.3123760661126145, 0.04637771077010644]","[52.8743, 108.24997, 110.895966, 139.47427, 141.65256]","[0.1224296875, 0.20576519097222223, 0.08529991319444444, 0.22797873263888888, 0.20514539930555556]"
LAT1,"[1.8736606728826928, 7.574942027570515, 7.465597397975703, 26.689582119145705, 10.72605828033744]","[16.495463659987877, 24.17968270690468, 21.333615792866834, 22.204438755078346, 67.93665562773337]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.6952535221656182, 5.410019812285963, 1.5410536366592875, 4.252109356022712, 4.806674000714988]","[2.561882724413126, 3.1252389574496204, 2.921641494223134, 10.063151492776742, 4.435385850761103]","[57.178284, 159.64502, 54.828312, 128.79593, 170.84312]","[0.07142057291666666, 0.26376519097222223, 0.22811371527777777, 0.16148177083333334, 0.28188715277777776]"
LAT2,"[28.7375638962176, 8.12978650279286, 4.335224123388773, 18.756268351746936, 4.4600817589823905]","[49.15808354575492, 55.55443271791996, 8.74754704857892, 43.48174635823072, 11.67284569897191]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3.0780090203181354, 2.6282702208717086, 1.8871372569419527, 1.738932895069281, 3.2377992413398333]","[12.331020149353119, 10.675036741925584, 3.734010297338116, 8.665716941234201, 3.3837053443884013]","[131.76883, 128.77602, 65.36783, 87.941246, 107.93493]","[0.3594965277777778, 0.07459461805555556, 0.07119401041666666, 0.24598871527777777, 0.13801519097222223]"
LAT3,"[7.433517820240382, 5.762842894900402, 22.553654597680442, 0.46119159989010683, 48.54482533522687]","[67.99242989844957, 21.062448166483225, 21.468181285474323, 1.1394017791599538, 72.46212746968554]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.921205363961824, 1.4439970276625778, 1.8394461166721083, 1.8781278882739083, 4.018220864751874]","[7.412227200155012, 2.847405188303129, 6.621273663745297, 5.085867227280126, 15.0819915202398]","[147.73042, 60.33731, 70.25808, 60.040703, 177.16783]","[0.10943446180555555, 0.1302009548611111, 0.25142621527777775, 0.015635416666666666, 0.19955729166666666]"
PECM1,"[39.960123578745225, 13.109052791744773, 97.6840981229642, 5.695761731357663, 27.061815963405195]","[23.873825486068462, 7.147937236033936, 26.8749211807758, 6.652849183559026, 11.064940567195501]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3.453550856163636, 2.675063550012643, 3.950780303439555, 1.7359242338293155, 2.3724801250994463]","[12.760417813158512, 8.315935794992466, 11.878609068433864, 2.172916390337335, 5.318031101212203]","[135.00902, 90.041916, 159.61792, 55.13171, 79.08819]","[0.04572005208333333, 0.022801215277777776, 0.22916883680555555, 0.10134244791666666, 0.12305946180555556]"
PECM2,"[41.09980630934942, 29.807619251076595, 69.22488111898916, 25.59153435980975, 3.2100228855542916]","[32.36256145099169, 27.10517111713258, 88.89385476828116, 52.09340597620222, 5.894147869520152]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3.5521863465916326, 4.628141699968578, 2.2227810552928133, 1.46335869174864, 1.6920834528073008]","[9.083054839636302, 9.703467129725995, 13.96062923207292, 5.662390594043295, 5.709396570368222]","[119.996216, 154.25746, 178.33607, 105.7288, 58.558956]","[0.21533376736111112, 0.11503732638888889, 0.2862222222222222, 0.2785755208333333, 0.034405381944444445]"
