muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
PECM3,"[0.4310924391546074, 7.09585720163485, 14.43616694527054, 7.878980021578684, 14.161440874696599]","[2.2264661202776708, 30.699695740734725, 29.09344485793269, 33.34768271525643, 25.82920193531454]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.372272796202758, 0.894978426367032, 0.021228327470273367, 2.3678780875501695, 0.9018491579294325]","[5.057271559017039, 9.011040811634992, 6.840774332766056, 9.533418601302394, 5.313653305525544]","[51.006943, 91.07731, 76.236565, 124.42801, 74.454834]","[0.03211067708333333, 0.07585199652777778, 0.15451085069444445, 0.08723524305555555, 0.24524652777777778]"
SUBSC,"[8.510521430146767, 8.872942976221289, 1.690551316155144, 41.001092056780905, 29.120353813669098]","[14.13778555600923, 8.738943539715283, 8.561772774088805, 8.841788695524379, 13.254541390866024]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.5312051932318402, 0.23759024958094654, 0.34243502353783173, 1.6592636430435288, 1.6584858653610395]","[3.4857559259724944, 2.9805098329547137, 2.094345129302104, 12.264772091033903, 9.55420306081414]","[164.79715, 67.1602, 69.9038, 166.73624, 173.91753]","[0.12285199652777777, 0.09929730902777778, 0.060374131944444444, 0.08582335069444444, 0.05878298611111111]"
SUPSP,"[20.749119904318178, 20.151527541396838, 24.23351638041357, 29.615943823107763, 36.871216058700185]","[0.16463855094634994, 1.8693875688106445, 9.957162652626259, 3.9711070637520045, 8.953030034191748]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9255810493464236, 0.9931517061404609, 0.4370715943312451, 0.9720663232251221, 0.13002230567259332]","[6.245578020296487, 5.847174398643571, 7.860372891236746, 8.6811589007045, 9.588205828224572]","[97.07744, 108.55039, 138.1363, 122.34118, 112.22071]","[0.1871597222222222, 0.20790972222222223, 0.15647265625, 0.2012964409722222, 0.2637790798611111]"
TMAJ,"[2.6096010260291074, 3.210687056297189, 18.851359784564828, 18.311916793956676, 29.66109017370036]","[4.692398583675411, 7.31586289347991, 36.16305275213097, 12.766198444037222, 53.16463939256106]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.1472574941341551, 2.792467792531525, 1.401732529537174, 1.4908152710181208, 2.7354827672252355]","[4.492003784304155, 1.2329318691670448, 8.882252797134239, 6.55586045254705, 9.376873018727803]","[57.845013, 127.85746, 104.53094, 81.73055, 177.3264]","[0.02001519097222222, 0.26714019097222225, 0.08595572916666666, 0.05451779513888889, 0.17573350694444445]"
TMIN,"[29.379989371145964, 10.90937748182067, 9.494418234736823, 43.23454011243772, 41.68862949933497]","[6.287122487877124, 10.822467169165499, 3.611027022271685, 10.906195945628788, 12.390264392860587]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.2947697684053576, 0.172133368059401, 0.5055405095981587, 0.7555379148383512, 0.5412988720825576]","[4.109838464450439, 0.7254575438916504, 0.6182794397870053, 3.9952061770365885, 2.5598823677529188]","[104.73775, 78.40054, 81.0373, 178.87636, 162.17247]","[0.1147131076388889, 0.30456684027777775, 0.3115043402777778, 0.21359982638888889, 0.33940451388888887]"
ANC,"[1.8119000633836038, 1.6253556422233935, 3.357546837670391, 7.873902213757177, 8.487565658375303]","[31.049535018675144, 10.553853277902, 11.173637547047246, 12.93117319914682, 7.505233714973791]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.1878325754769525, 0.30886566946707905, 0.9197483193321565, 0.7156867826734747, 1.8851867831445244]","[1.8143920224163121, 3.40134083815548, 1.9429707874976252, 6.928317130903885, 15.036700317652219]","[169.56093, 57.321995, 93.79456, 86.68391, 161.51176]","[0.19967274305555555, 0.09484548611111111, 0.18268619791666665, 0.08661588541666666, 0.04155902777777778]"
BIClong,"[1.1576159364566614, 12.423744442222315, 20.83915532060341, 9.23014887267307, 17.880834900951854]","[3.532015434643851, 1.0233973635852962, 13.914894790607892, 1.3938941382782772, 7.4234639485418015]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.5528113549682736, 1.7179416326830035, 0.5462714575378502, 2.0762475143691956, 1.969880592148165]","[3.5255822533150907, 6.54024725784469, 6.286921018533717, 16.80973750939389, 7.276872762913435]","[58.52488, 132.99463, 140.66669, 169.97241, 171.4977]","[0.050529947916666665, 0.09260677083333334, 0.23036067708333333, 0.02400564236111111, 0.16094965277777779]"
BICshort,"[15.235600091887811, 20.846358349857972, 35.60877767724496, 41.88480995578604, 16.506493190106212]","[17.50860515359984, 7.500746176154742, 22.747591628389152, 41.44228040393803, 14.737043196870024]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.31710255686021904, 1.4569723084294468, 0.06559949735103388, 0.6586437188745009, 0.6845125497588698]","[7.278252136009055, 9.22544419589026, 9.879522008045786, 17.572147436027073, 6.43295256628012]","[75.07048, 102.64162, 102.08603, 178.98846, 73.64775]","[0.06383897569444444, 0.030085069444444446, 0.10200086805555555, 0.06428949652777778, 0.06965928819444445]"
BRA,"[19.279757865425253, 13.627142419394097, 24.929603783600477, 14.880989782035869, 12.610791854467571]","[21.53986968525639, 39.70664918137196, 3.2719282096356466, 46.222458877956775, 29.5469862399218]","[1.0, 1.0, 1.0, 1.0, 1.0]","[2.304935192248174, 1.7122448316262178, 3.840773742602895, 3.1812206673544408, 1.3985185982909911]","[6.797252293696099, 10.200365904936078, 15.504339261116002, 11.458051845286242, 4.09782427447628]","[108.149536, 125.90094, 174.66956, 171.6746, 91.94729]","[0.25401171875, 0.09231163194444444, 0.05261675347222222, 0.09873307291666666, 0.30641276041666665]"
BRD,"[10.247603101667444, 4.787935426662372, 8.108686748388983, 0.16586620100175153, 3.4739613625886534]","[12.811334245065186, 10.807912149666505, 22.87882196038653, 11.316322287058156, 6.05719802968413]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.28487001879909535, 0.9313750276207515, 0.6363040246221789, 0.6353319722985074, 1.5585022583651456]","[4.9244096450186285, 7.657041777129971, 5.965172014591055, 1.9481127906601112, 8.766488023990208]","[56.91658, 81.855774, 104.60783, 62.949066, 126.20489]","[0.26830034722222224, 0.06314453125, 0.12935807291666668, 0.13119835069444444, 0.056655381944444444]"
ECRL,"[15.360920629626666, 4.6152822808707015, 13.432302072674286, 15.874945844381102, 2.090369974486734]","[15.757624597937339, 0.4719625162987313, 5.136093623139864, 8.172732677629444, 33.22108073845457]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.9820458276565085, 2.797172929157048, 1.7433399598792958, 2.521866248734326, 2.334101318555007]","[5.9834716876198355, 12.653328536901643, 6.442274747510549, 6.243670129192099, 11.229414427946699]","[63.194633, 150.6156, 88.23612, 126.29186, 151.41237]","[0.29302690972222223, 0.041965711805555556, 0.2010464409722222, 0.28928472222222223, 0.07513107638888888]"
PT,"[22.332462246308424, 6.3738792001970275, 0.1494252114049246, 17.89290716729698, 31.348398061929746]","[14.239393914261159, 10.713244161773641, 34.926334769465726, 26.569409464935156, 11.644396563777953]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7892318523140291, 1.1671920935517233, 1.1352901000550455, 0.7470879673073396, 2.0378842000876802]","[5.164425761959859, 6.237890425891136, 2.090173285892458, 8.940351072829198, 7.824060393283516]","[58.88671, 73.52517, 122.68975, 95.91715, 114.11656]","[0.34217274305555556, 0.05702083333333333, 0.18306553819444443, 0.08437977430555556, 0.29716927083333333]"
TRIlat,"[14.386362991709383, 35.44050605778337, 32.65533299935716, 13.633306499770939, 32.23926549115732]","[21.511190257998848, 60.32911160797207, 54.286085661833475, 29.101899653459903, 38.15117836269792]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.1570614029793309, 0.7868484242156004, 2.4723994629124695, 1.766165937809756, 1.3496061054173136]","[4.0355330938666185, 13.218564832268985, 10.727784197966287, 7.791984925153473, 9.881495195009379]","[55.10271, 159.09067, 169.4087, 104.990364, 109.189674]","[0.24928428819444445, 0.12969010416666665, 0.17447612847222221, 0.08960112847222222, 0.18664713541666667]"
TRIlong,"[3.175028212374592, 10.313715339573221, 7.102612652785766, 0.8737148732537463, 6.245312623880707]","[9.867340723043382, 31.947018475319787, 17.174599046619264, 44.730148753632115, 14.22064845711575]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.7585330565290316, 2.6054257108371575, 3.150951058996257, 0.7154890112122088, 1.4704635344236192]","[1.8701055470016952, 1.5573317042644357, 0.4984858278391382, 1.6378425404592898, 4.517986529030279]","[87.249344, 161.78487, 153.06598, 136.16049, 85.52202]","[0.11690147569444445, 0.14047309027777777, 0.18013368055555556, 0.2571822916666667, 0.05203732638888889]"
TRImed,"[8.704868673633925, 13.856802771086066, 12.099382214050523, 1.3926811510113097, 24.93130473960622]","[38.420199949917894, 26.47432521722446, 1.9829565730957501, 40.63691438875829, 48.7179352430465]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.964251133989678, 0.39520498669372683, 1.3842465012368401, 0.45715760433805386, 2.007281486369372]","[4.368272082547644, 4.860650785332794, 5.1058613955766585, 9.54334935739444, 8.30082927860517]","[124.909775, 68.3797, 52.32363, 110.595695, 144.5006]","[0.1626996527777778, 0.20371614583333333, 0.0691640625, 0.06932942708333334, 0.24072569444444444]"
