Muscle,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
10,"[2.5620793099042203, 0.3899598263459829, 4.236292030945073, 2.071498426556726, 6.5330758193416205, 0.48413432728871086, 0.5683755533492416, 11.812513981028758, 2.4922158105965373, 0.6354730484145215]","[20.364036499060745, 12.815525052026402, 18.42258989244445, 17.547996556992935, 14.711338539266105, 8.029456863874126, 22.074341430588944, 23.32447613081857, 17.815101590812034, 23.007480304373686]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.001670291007663, 2.411091093118536, 3.859075408183511, 3.549345693435013, 3.063506519414851, 1.5014751304044536, 3.661244523617742, 4.624333296165785, 3.4824153612186874, 2.723428041214091]","[38.626728, 24.4283, 34.830833, 33.4113, 27.231138, 15.250587, 41.6094, 42.691025, 33.72745, 42.265667]","[0.23984505208333334, 0.2224765625, 0.25625390625, 0.23112109375, 0.34846875, 0.23185026041666668, 0.24601085069444445, 0.40106336805555554, 0.24516796875, 0.3128211805555556]"
11,"[11.189377254294756, 5.077630458511578, 2.5518449961847534, 1.2591940812758722, 6.2191181577094135, 4.943778941969452, 6.732900830786752, 0.5439036465183786, 5.8925521521347, 5.366869810219978]","[13.613126834864055, 12.070961959133395, 10.077851248289855, 8.715115966887392, 15.802070366024823, 13.556519604554136, 13.060118467731545, 7.7166042778144845, 8.714863983924511, 13.626927392653393]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.774682200909738, 3.451536787214817, 3.2433855921997212, 1.9951410596886463, 2.9986975953435517, 3.3408584954046554, 2.867841391315638, 1.085976875658032, 2.644531618115641, 3.6203361925731086]","[44.165276, 38.841293, 32.641617, 27.334946, 49.28979, 43.01939, 41.26638, 23.472422, 28.390287, 43.539825]","[0.31836241319444447, 0.15302604166666667, 0.10039192708333333, 0.15017881944444444, 0.2772174479166667, 0.18207725694444443, 0.2764405381944444, 0.23410677083333334, 0.20014973958333335, 0.16790928819444445]"
12,"[0.3385268325627102, 1.7332518976905416, 3.7850512522582136, 3.376353918886764, 3.9212046975005084, 1.9681237730253045, 7.810463195512748, 3.8947161057084863, 4.028352538996813, 6.728867024032972]","[11.576627388097004, 4.418149902742206, 11.46215207211573, 9.074978651797222, 9.246356419031667, 8.46711148647914, 10.666051455836186, 6.375235435756416, 8.573921264167875, 6.0813696502335794]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.555398677680113, 1.8810994479011016, 3.8060828818143095, 1.9110385898020905, 3.4590750771811263, 3.2866598715362514, 3.750669579095445, 2.671761903836194, 2.797269750781687, 2.5359669186720524]","[47.851677, 19.218607, 48.593666, 37.473156, 39.822365, 36.148304, 46.582726, 28.064611, 36.62175, 27.570162]","[0.1462400173611111, 0.11685677083333333, 0.15880381944444444, 0.26265234375, 0.14469487847222223, 0.12003428819444445, 0.18969835069444443, 0.14098958333333333, 0.17825477430555556, 0.19500694444444444]"
13,"[1.2328057957859535, 0.46044611841381133, 3.6118616714854515, 0.5930257192840251, 6.090385756676467, 3.175141204005868, 2.4151866472903336, 21.899062371657738, 1.7436964195215623, 26.95937852806376]","[13.221606216702439, 15.131965825641487, 15.707096167109857, 10.711313988547229, 13.714478322129928, 15.706418298360537, 13.462587574537181, 18.4215015307233, 12.46446183562102, 17.666555546216085]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.2306160770141945, 2.8469023216344373, 3.2902468603139643, 2.0425541311538336, 2.85591916997069, 2.9420149614449933, 1.8478229838734583, 4.350762966403911, 2.436496538873354, 4.653842845085644]","[21.113907, 24.588911, 25.554518, 17.3951, 22.667603, 25.209278, 20.936743, 42.5389, 20.16118, 50.05454]","[0.22878081597222222, 0.19434722222222223, 0.20649348958333333, 0.1957582465277778, 0.2607769097222222, 0.22802821180555555, 0.2967634548611111, 0.45005859375, 0.20565321180555557, 0.5057482638888889]"
14,"[12.827460362737837, 0.6797943573852478, 6.552984089256797, 9.448213330262067, 3.0214794844478696, 9.837272715033123, 0.44706338937529644, 7.170578452532336, 7.76692931683122, 6.700391245076542]","[4.8619683092237755, 12.271027808613773, 4.219085234270667, 4.394091337090867, 6.839565929957942, 5.030589245415839, 8.657376832208207, 13.61638430301896, 5.015874134439794, 1.0650789227007893]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.2386290514972, 3.698175259045035, 0.6619694109196734, 1.1906657505979004, 0.9698832647608077, 1.5276448841773291, 2.0878416437262013, 2.3362711975675525, 0.989002130941595, 1.0549614150371756]","[48.06564, 40.364372, 26.554441, 35.113106, 22.97111, 37.766605, 27.957743, 48.83712, 31.70876, 20.989513]","[0.042654947916666665, 0.11912977430555556, 0.25851953125, 0.2007443576388889, 0.20311241319444445, 0.16706814236111112, 0.15979210069444444, 0.18072439236111112, 0.22150868055555556, 0.10255338541666667]"
15,"[0.36001571406830735, 1.2439683516903788, 3.9766415151151833, 1.6623811302256346, 2.0891347595142946, 0.8747102325466294, 1.2836881609657098, 2.1044069389401976, 3.8991425101976382, 1.4489427984463745]","[12.499101661012634, 11.87526225866359, 12.406489584903817, 10.458767113504663, 8.581937839731134, 10.159309567243437, 13.844503977582189, 15.822172405660709, 15.267559374811672, 11.880663885603703]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.787947768146583, 2.625513657694988, 3.105751771077188, 1.7291548894242057, 1.2733912092124777, 1.2378530579865534, 3.655152560556239, 2.479925523005525, 2.804518372696452, 2.2162093333200334]","[34.163105, 32.236565, 33.462788, 27.683643, 22.411045, 26.611797, 38.213116, 41.83443, 40.36903, 31.795824]","[0.1639904513888889, 0.17205338541666668, 0.18970616319444444, 0.21595833333333334, 0.24933897569444444, 0.23584288194444444, 0.1528224826388889, 0.21708984375, 0.22272526041666665, 0.19311284722222222]"
16,"[4.836009525720771, 2.1252855065097656, 1.9872317574503082, 2.5708624606164587, 9.336092376874209, 3.900527670850863, 12.241383344156782, 2.5215239563402, 2.8483884954118004, 1.965609607020701]","[8.093116090965202, 6.989528773128823, 6.240978457623294, 6.75283992212692, 10.289924128589721, 10.700983835360278, 12.79260377058609, 13.003900606671218, 5.812571618272355, 10.133557201143208]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.8054484709883103, 2.239219759442958, 2.2354003714311808, 1.8548038990646747, 3.8537261666653375, 3.2988171009151124, 4.512906589902958, 4.328285979914248, 1.5920006756626295, 2.6933751328216418]","[30.535788, 25.50154, 23.036398, 24.502634, 40.17823, 39.129967, 49.884563, 47.127888, 21.299072, 36.04607]","[0.18670572916666667, 0.16470833333333335, 0.14712977430555554, 0.20339756944444445, 0.21316493055555555, 0.17851345486111111, 0.23021571180555556, 0.14993923611111112, 0.2243220486111111, 0.18600694444444443]"
17,"[24.155876695306112, 25.651726978757694, 22.296373510654856, 21.50404391960741, 20.57273776859554, 24.493825349382902, 42.58401164179356, 29.969681871233576, 6.625733392784388, 28.445335381003467]","[5.199758797526512, 15.289416091501511, 6.773123986936457, 6.8552120857685255, 15.790918575941529, 11.405327012555334, 10.414888249820773, 10.174137744510329, 10.406296445333712, 6.485335739616839]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.5016698642645325, 4.481420500043196, 0.31383100015758736, 2.764133191456257, 4.04327846917288, 1.5574704367345542, 2.6643474872331128, 3.742811690972631, 1.272327420284562, 3.0387709084328236]","[25.500221, 47.87371, 25.14988, 27.34401, 46.039955, 36.5857, 45.409306, 39.20519, 25.803194, 30.749777]","[0.17362022569444444, 0.17887630208333333, 0.24886414930555556, 0.17199088541666666, 0.1837712673611111, 0.23051692708333332, 0.2052326388888889, 0.17712543402777778, 0.2577065972222222, 0.17303862847222223]"
18,"[1.724756206978313, 0.6188215920511908, 4.556817745844569, 2.2481796513164873, 6.379158645102976, 2.1444676674816083, 2.9559539327026787, 5.6414000400136075, 2.261370980237448, 5.111055716979298]","[13.08367794266025, 20.33677081554218, 20.08738014056007, 19.044691646896098, 14.364744114243786, 12.77808422436828, 16.476899924051132, 11.139263055182155, 16.164953924195405, 19.53972591156343]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.6938688611299075, 3.826125482731858, 3.0136719050560155, 3.852074740279745, 2.991331286833895, 2.166586052916553, 2.2615559017963314, 2.208481114513265, 3.1598519700860415, 2.937098665290277]","[25.009562, 38.788425, 37.019825, 36.37002, 26.908007, 23.899567, 30.259993, 20.671473, 30.713573, 35.92543]","[0.16968532986111112, 0.1685698784722222, 0.2322326388888889, 0.1703090277777778, 0.21986848958333333, 0.2025954861111111, 0.23646701388888888, 0.3278984375, 0.17812890625, 0.23928559027777777]"
19,"[0.6902033946968515, 0.0227547296364623, 2.746954011002199, 0.29373079657397483, 1.9227235407442294, 0.6228513440055572, 3.641505291113198, 0.13535489514441323, 1.178886515240242, 2.874551828671432]","[10.614403194948682, 12.742442392321234, 19.308246689612538, 16.854310206988394, 13.443034269643213, 11.905639632757161, 12.30978191295534, 10.193824326740593, 12.994410756173068, 14.19414518735574]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.54405471761536, 2.2395604158013773, 4.114891385990665, 2.7659730642672447, 2.6940876293899976, 1.6982573269647612, 2.0852439987829037, 2.761410647470118, 1.8435290285197516, 2.768957293002302]","[26.76177, 31.447626, 47.944992, 41.355034, 33.20856, 28.887405, 29.754932, 26.107937, 31.438105, 34.866093]","[0.17323914930555556, 0.2025625, 0.19667230902777777, 0.21257855902777778, 0.20449045138888888, 0.2337387152777778, 0.2576697048611111, 0.15333116319444445, 0.24032552083333333, 0.21668055555555554]"
20,"[0.6994727423733949, 0.3978218698425735, 5.8871986176291475, 2.70395920604237, 5.545052950041066, 1.989824676263419, 0.3036117880283111, 9.396046421023875, 2.5235281633522426, 2.58180997622026]","[10.798706164629309, 13.073900937395893, 19.8215792992412, 22.90567360784889, 17.42355243104702, 10.37953656361913, 11.791552665831201, 18.553024430126268, 18.03893162311438, 21.530315410110354]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.038383673792653, 2.4597014928767953, 2.4590812742001082, 4.633016293979617, 2.90794692635583, 1.2379179494212893, 1.9557438557555575, 3.678340646778726, 3.526168642041613, 3.3948036016222627]","[22.104717, 26.840536, 38.452354, 46.96111, 34.481506, 20.278362, 23.955849, 36.68829, 36.784775, 43.17357]","[0.18296484375, 0.17775954861111112, 0.3943611111111111, 0.18263368055555557, 0.26027213541666666, 0.2813207465277778, 0.19279427083333334, 0.36613975694444445, 0.19122395833333333, 0.2176662326388889]"
21,"[3.409393068956737, 4.282753562415884, 4.88351362682414, 0.6717281232056678, 1.454323455319738, 2.0886790593388724, 2.3939593515039252, 10.779070702628896, 8.487525959526263, 8.05750609281992]","[11.373931248081728, 23.470141559557522, 22.07068044259496, 13.84357826890303, 18.633012711519527, 13.506392764265382, 13.344263664119845, 21.283883999600356, 18.35643273825587, 21.404485945539665]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.4055145630012245, 3.697766831089456, 3.229733694866127, 1.8808274990055138, 2.9593070875336034, 2.639079033915592, 1.8315822990867925, 4.21976351790534, 3.9656039561623513, 2.920654072216651]","[24.330772, 49.083893, 45.86504, 28.747812, 39.09277, 28.777058, 27.63861, 45.09029, 39.243153, 44.12074]","[0.18769878472222223, 0.21821050347222223, 0.23341102430555555, 0.22491536458333333, 0.20679730902777776, 0.18505555555555556, 0.23753862847222224, 0.2244006076388889, 0.20295789930555555, 0.2688776041666667]"
22,"[0.9543497666548664, 0.43135256624833396, 3.02952202729956, 1.6066095606852997, 8.963597230273505, 1.266211837388589, 0.363437506456636, 10.611755075228425, 2.063089433030134, 0.5292036975014014]","[10.235218597157965, 14.175843883228126, 13.174644588091745, 13.60984815527957, 20.184445585918603, 11.110073063767778, 14.115039886798392, 20.953509841831497, 14.747578313278243, 19.15996858976618]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.7267828719428766, 2.667019165077888, 2.759761099730844, 2.7527960688478634, 4.203232797490953, 1.8744087053644907, 2.3411168414100145, 4.154263216445424, 2.8827898060049626, 2.2679926283031926]","[19.20563, 27.01572, 24.974346, 25.941322, 37.577988, 20.81095, 26.595795, 38.609303, 27.958992, 35.18601]","[0.1805447048611111, 0.15862630208333334, 0.16829904513888888, 0.1590251736111111, 0.20602604166666666, 0.18353125, 0.1737517361111111, 0.2404670138888889, 0.1663046875, 0.21863454861111112]"
23,"[1.2258815950725968, 8.033677174810155, 16.813728020511995, 6.431049414802594, 2.5818465266320416, 6.886820608890008, 7.912152382038052, 8.889779088414365, 9.494920009375836, 35.065584504017636]","[10.60246453292432, 20.51217631956814, 15.8206672487532, 18.116763982160414, 11.500145664420153, 12.341995921104107, 19.439022384077763, 7.905056751134931, 18.698641816509543, 8.020944336038337]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.2927193695030108, 0.6169779063534757, 4.474378562396563, 0.7931093644008218, 1.085766102714153, 0.5144008045192957, 0.01085424839044924, 0.8579277989917765, 1.7629238768731583, 0.4896401654901237]","[20.857195, 42.77734, 45.073586, 37.524227, 23.259823, 27.444616, 40.192898, 21.515835, 41.848675, 41.275337]","[0.24409201388888888, 0.24888368055555554, 0.038534288194444447, 0.24591883680555557, 0.23434895833333333, 0.18920486111111112, 0.2798806423611111, 0.07787630208333333, 0.1604201388888889, 0.009091145833333333]"
24,"[3.1224684215485254, 0.3646738349063394, 2.560081660288036, 2.7025956684326395, 6.369585894931513, 2.8601254047030107, 3.6246977834839953, 2.4551567310822726, 2.61923297957026, 2.0585944202618975]","[23.686461337768243, 11.984533665563474, 11.133164138387581, 22.89412286130998, 19.656521553651068, 16.53844344560257, 20.204571516711454, 17.812827861156386, 18.723058180856526, 13.574646523853314]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.876932992986639, 2.2547497865996755, 2.3321216068182977, 4.630679982119133, 3.609522163662177, 1.4227519940265863, 2.773201765350665, 1.880656452600532, 3.659898602634576, 1.7572852770295098]","[44.816143, 22.705585, 20.88601, 43.296947, 35.99813, 29.173294, 36.649185, 31.89458, 35.199806, 24.592531]","[0.16100998263888888, 0.15862282986111112, 0.17451085069444444, 0.16143967013888888, 0.21971875, 0.3306822916666667, 0.23608289930555557, 0.27213628472222223, 0.16970399305555556, 0.23820963541666668]"
