muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
CORB,"[7.062608438646188, 15.44112511389608, 2.337580318095572, 23.18094595415817, 1.8718513075780123]","[4.240710367046394, 5.000742815751393, 4.3316013215783915, 5.579367731295974, 5.289564371859999]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.9923883843081849, 3.3319620893520416, 1.9424812854609845, 3.0568428872446143, 2.463028885831268]","[28.347403, 34.5878, 30.57063, 37.09073, 37.560898]","[0.24790538194444445, 0.0787947048611111, 0.04717578125, 0.22854600694444444, 0.045885416666666665]"
DELT1,"[9.110358248952723, 10.47791689136222, 4.814390898580948, 42.894319356382255, 3.3377961976080446]","[5.474195859662435, 9.0407580424068, 11.77254036281741, 8.716005651030724, 11.080915898244495]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.026394832062794, 0.49839873869087414, 0.0933729152939482, 1.1753754398537768, 0.2716362840628541]","[21.23634, 30.459473, 37.9851, 46.689445, 35.819763]","[0.08085807291666666, 0.20869444444444443, 0.2796119791666667, 0.18885633680555555, 0.2632526041666667]"
DELT2,"[6.663821358804846, 1.4780028268309202, 5.807943875406622, 0.8698991625949333, 1.1257450356988965]","[18.294985240359903, 14.666899997332951, 16.55689280099864, 9.537538428107698, 9.826240555614568]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.354254177602549, 2.5854064618524184, 2.5522949502997148, 0.6767464935945232, 0.7346499207337072]","[46.358425, 38.203075, 41.535324, 23.865679, 24.556053]","[0.1891015625, 0.08214670138888888, 0.25098828125, 0.22554904513888888, 0.23736892361111112]"
DELT3,"[13.708856305606695, 14.902163779202489, 2.178729821572391, 4.8312850244080385, 10.432042073135946]","[5.227811882898381, 6.655684747729347, 4.863596783766216, 3.2950610036044683, 5.719468687536141]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.060089987355256, 3.848328435255559, 0.9655362442642426, 1.3216163940087693, 3.0424628006945023]","[34.831524, 43.484947, 27.155098, 20.133617, 36.34748]","[0.3384509548611111, 0.25369835069444446, 0.17028645833333333, 0.23179991319444446, 0.18816666666666668]"
INFSP,"[0.08729994489458903, 30.536530109588593, 0.4239898332154528, 12.077469933992493, 34.874383569507124]","[3.8631381104564735, 3.3662309632281886, 3.4441952453688933, 5.354468278351516, 5.463149219086192]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.2403253379628936, 1.5249944840022451, 0.06119407908839647, 4.199114049659153, 0.4765211879771152]","[32.773186, 33.048717, 26.383696, 44.890305, 47.834232]","[0.01208029513888889, 0.1364240451388889, 0.28062586805555556, 0.0341796875, 0.18086892361111112]"
LAT1,"[4.268776217552471, 2.531565492450273, 2.4147419665787666, 1.763909977037839, 2.1661808762925148]","[17.987996109526506, 22.098044454089532, 18.79483196928891, 14.593951197615514, 14.402115153710637]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.8095513602205484, 4.5139602527552976, 3.3255860291549384, 1.8109112042443374, 2.552916333040652]","[20.549116, 26.980509, 22.355692, 16.62074, 17.040976]","[0.08213368055555556, 0.028506944444444446, 0.04280121527777778, 0.07967274305555555, 0.04621918402777778]"
LAT2,"[3.7453466954064396, 2.669488436887045, 0.8154149751821187, 1.4670852049522463, 2.1769279790361757]","[19.419905814462588, 17.60296325181197, 22.556361659225082, 12.427914882904368, 10.514295090878134]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.8942756741990303, 2.278764909284716, 2.8950742320250065, 2.5137323240717846, 1.6873215402946595]","[34.09225, 29.805145, 38.71944, 22.036217, 18.005451]","[0.07513802083333333, 0.13086675347222224, 0.08729470486111111, 0.060184895833333335, 0.11605685763888889]"
LAT3,"[0.5272844532942056, 2.431162709330863, 6.726685895992992, 8.875226504763027, 1.798950665450132]","[11.581408755589797, 20.05944424587352, 16.624892844223485, 20.57500673986728, 14.00189997363547]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.6612980793602243, 2.3653543020228227, 2.92942828010802, 4.100506520661529, 2.4775173840359033]","[20.271551, 34.29742, 28.457903, 35.589054, 24.746492]","[0.06667925347222223, 0.09825130208333334, 0.10515407986111111, 0.08586241319444445, 0.057796440972222224]"
PECM1,"[10.49970515139417, 9.430141239838225, 18.437776101848836, 0.615013716997673, 0.22565535758031352]","[12.731501429188963, 11.715645641132292, 9.5249009394884, 8.581641049411061, 10.24365875340131]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.648441251008743, 3.100049539480362, 2.3269567067418446, 1.2967226204879063, 2.5813502899889205]","[33.308723, 31.274326, 27.072975, 20.85919, 25.84564]","[0.09997178819444444, 0.06639626736111111, 0.23181727430555554, 0.08205034722222222, 0.04690581597222222]"
PECM2,"[6.793944752565336, 3.4297558176421177, 1.2981975617585526, 5.46592669250083, 0.5243484540046879]","[15.75007229385072, 19.117937781781215, 22.64075063588276, 16.289137936984936, 11.597228409302318]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.138918735646643, 2.624054598853932, 3.896996360693752, 2.369206166906645, 0.44882975970393524]","[31.18944, 37.174362, 45.10339, 31.540705, 21.570639]","[0.10674175347222223, 0.13011935763888888, 0.09787760416666667, 0.14309071180555555, 0.2740920138888889]"
