muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
PECM3,"[3.934580674198317, 0.28816144936584465, 0.026954915777954724, 0.03421897092552584, 0.06733893232961563]","[12.541051254019859, 16.80690442038228, 10.060437619144395, 8.519481504590361, 14.308430384556521]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.4214387708641212, 0.5699655883357893, 0.6243436338733397, 1.520369650770833, 3.0119926072445535]","[31.766973, 42.208073, 25.582571, 22.653082, 38.501976]","[0.32154644097222224, 0.29737760416666664, 0.21527517361111112, 0.09866927083333334, 0.08623784722222222]"
SUBSC,"[2.5420193745447257, 5.51090839835606, 8.581736418374348, 4.698088701917074, 3.049786315943276]","[8.148987200859853, 4.263502425126076, 5.309777445103316, 5.905962902659675, 7.96868928392025]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.9505852453345138, 1.5650973714379681, 2.6346839108294375, 2.008445992605881, 1.32208736051673]","[49.090725, 27.118711, 34.610054, 37.14858, 48.44663]","[0.19447916666666668, 0.2637552083333333, 0.10264149305555556, 0.06545616319444444, 0.12949175347222222]"
SUPSP,"[5.581192978614223, 7.688876642393801, 6.042158419820373, 4.2612231994409555, 0.22495808527452255]","[1.9866789859707676, 3.9631087602078043, 3.7208310616942377, 2.7478209802421127, 3.8614208822914255]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.042865044557681, 2.9613422155493834, 2.04964351078672, 1.0560818260203515, 3.9896942345101967]","[22.07928, 42.00287, 38.387466, 27.837322, 40.07198]","[0.11223828125, 0.11150043402777778, 0.1507756076388889, 0.2872530381944444, 0.011490885416666667]"
TMAJ,"[1.7853266730247022, 5.98205196606842, 8.007810455089151, 2.7856840922103245, 5.312502278738254]","[14.77114517016242, 15.677196220726623, 21.727724568915065, 23.597978271328486, 24.007341890710478]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.832898570507573, 2.1873015474522006, 2.4175092216572502, 4.773045303438653, 2.443396933487766]","[28.739819, 30.242554, 41.303093, 47.768208, 45.8524]","[0.12872743055555555, 0.17209461805555556, 0.24339409722222222, 0.07180164930555556, 0.1850412326388889]"
TMIN,"[9.279055593145666, 6.667345363690658, 7.681730147166464, 13.432951180865636, 4.8256287496608685]","[5.478418520759722, 1.8012822974929108, 5.51706361161155, 1.176648469380778, 7.71076770879917]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.2736400457328507, 0.4838059496213357, 0.9133351600314674, 3.0948618682604723, 0.9069188802521875]","[44.54253, 23.970577, 39.071545, 42.5064, 48.73709]","[0.07134895833333334, 0.2918767361111111, 0.1725954861111111, 0.04823828125, 0.1423771701388889]"
ANC,"[4.405037523805291, 4.827547544853958, 0.4546672583224023, 0.052539421751983895, 0.3794589592041273]","[8.13005235276113, 6.040325869675158, 8.183848273465765, 7.362667882537309, 5.914568384009257]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.613530593302561, 2.959187938537527, 0.64256178316822, 0.6891681060233297, 1.8086932796057291]","[40.498234, 30.021574, 38.645615, 34.957253, 29.262793]","[0.09215494791666666, 0.10532725694444445, 0.1732443576388889, 0.15482204861111112, 0.08999522569444444]"
BIClong,"[0.5378289487889418, 4.945840653200266, 2.0687184310716837, 4.391433029468766, 1.3491203549133175]","[6.2481785517052435, 4.6710959415372395, 2.7868824824133376, 2.736851213356764, 6.31791208390126]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.8617322776110115, 1.5775871432241957, 1.932972835335813, 1.0393778069636959, 1.4653416578493765]","[49.05795, 36.13943, 22.258074, 21.78957, 46.424393]","[0.03513845486111111, 0.23352083333333334, 0.047364583333333335, 0.26763454861111113, 0.12085069444444445]"
BICshort,"[8.812797758164251, 9.595956437719138, 4.482490998072244, 21.04549240211845, 11.50940401814591]","[6.368547867604672, 6.900461869865417, 6.861720288890166, 6.843506289258938, 10.954564065200795]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.04783004613803499, 2.2446313244153635, 1.512360864254696, 3.3941830909834363, 4.179242141549952]","[25.4769, 29.817968, 26.767298, 35.886906, 46.340393]","[0.2677248263888889, 0.13920442708333333, 0.1245390625, 0.14790104166666668, 0.07935416666666667]"
BRA,"[9.173251756781209, 8.806431803096295, 0.2707149964422122, 15.661484252655026, 1.3598261987127813]","[16.462661276070833, 14.105517392448604, 14.261606596363023, 19.081910535712176, 17.830390582644196]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.0109220860853867, 3.1513882710389605, 3.4125827240744497, 4.57760727765339, 1.3422242509647675]","[42.56098, 36.912094, 38.70086, 49.74799, 45.324413]","[0.2926184895833333, 0.25895095486111114, 0.07638845486111111, 0.33716840277777776, 0.16647482638888889]"
BRD,"[1.59795487917712, 1.452630774938168, 2.9197810970654032, 0.8437267435921072, 2.0145776708074656]","[10.59961070750085, 10.15095402714167, 5.251864799788031, 9.059874537578235, 11.505844495050555]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.0163714552478984, 1.4472405966168131, 1.7841000631862136, 1.573384550638422, 3.5005349673249264]","[44.996124, 41.663105, 22.26558, 37.542503, 49.0225]","[0.10038802083333333, 0.15625824652777778, 0.12634418402777778, 0.13173307291666667, 0.09742057291666667]"
ECRL,"[4.583152440810148, 5.5291581256396345, 3.476176807334552, 4.656948807417283, 2.9987528303872217]","[9.922402344034511, 9.177654222533503, 13.077859081857596, 14.828322247666865, 10.000333724660369]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.3727942227080496, 2.480341098377429, 1.6097483684275558, 3.2222960651496284, 2.731845148393697]","[29.683556, 27.513885, 38.08233, 44.438564, 30.555813]","[0.14054774305555556, 0.2528142361111111, 0.2856944444444444, 0.11901866319444444, 0.09474131944444444]"
PT,"[1.9986752131802596, 6.0062100574818835, 3.366300357231978, 6.113758596676529, 5.892919638572107]","[7.040400475138136, 10.706733374970828, 13.29433186889096, 12.91202061405948, 7.338497531896302]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.7504885778009982, 3.4825410341104606, 4.278555356609325, 2.1412675755212254, 1.4732905647540153]","[22.951849, 35.57021, 44.334145, 40.8969, 23.374496]","[0.09129340277777778, 0.08175564236111112, 0.07284201388888889, 0.16004947916666667, 0.32435850694444446]"
TRIlat,"[9.550793996580094, 5.6079338020191924, 4.658116092020293, 6.0252595385630325, 15.52099993883336]","[14.32676252470731, 10.511496859603367, 13.653573918705028, 16.444677509239, 18.099992303014425]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.7213468646933734, 2.336420822621555, 1.4388211479201996, 2.0902745363109156, 4.12419972863822]","[37.67334, 27.467524, 34.49611, 41.839813, 46.47889]","[0.11214192708333333, 0.10986241319444444, 0.229921875, 0.1822578125, 0.28315842013888887]"
TRIlong,"[6.063139752793457, 6.9363357301352355, 2.4871151072743825, 4.164591064068523, 10.766489301991651]","[9.834079741045235, 11.391906966035192, 10.232644455331764, 10.095581793043507, 13.602198767062873]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.9552292705407904, 2.372889807813244, 0.9676856049810819, 0.04422141104719213, 0.23125432500902665]","[30.735304, 36.804028, 29.045721, 29.048359, 43.233826]","[0.06862196180555556, 0.04366753472222222, 0.11054123263888889, 0.14027821180555555, 0.08148177083333333]"
TRImed,"[1.1636153609635116, 1.6817448275054794, 2.3928279765008895, 4.438557192611908, 11.52840956473651]","[9.315802837925052, 9.139326354120383, 11.07155055312779, 11.78548685496641, 15.464291658755307]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.1213060237458743, 2.143426877565665, 1.915701091112229, 1.503831727179514, 3.7192070939595085]","[23.724276, 24.210205, 28.576721, 29.505875, 39.321434]","[0.12488411458333333, 0.07710112847222222, 0.10417795138888888, 0.24017708333333335, 0.24226996527777778]"
