muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
CORB,"[2.879855850333085, 2.717099041880905, 0.08052612725671082, 6.834707557433532, 9.900486122782159]","[3.240974023377653, 3.332986422892267, 5.516865857230979, 6.779347229104648, 4.359660577731085]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.364307909358714, 0.6277980741187376, 3.705461128708256, 4.915666812560213, 1.9111685129050877]","[23.62507, 22.526604, 40.57518, 49.27394, 29.661673]","[0.02152517361111111, 0.16104730902777778, 0.028338975694444445, 0.021555989583333334, 0.12867491319444443]"
DELT1,"[44.95530620449615, 40.540288167498055, 4.814390898580948, 5.2696678771237835, 7.858667890190723]","[7.937688143117919, 9.236206441470873, 11.77254036281741, 15.369156901326944, 5.742001413339609]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.7197840703346343, 3.179599102923648, 0.0933729152939482, 0.25940573716089155, 2.1636416618014165]","[48.267475, 48.82606, 37.9851, 49.627438, 21.422451]","[0.14742447916666668, 0.1533181423611111, 0.2796119791666667, 0.2731657986111111, 0.06806597222222223]"
DELT2,"[4.801224509939898, 6.001320450759421, 3.7157733918887192, 0.8698991625949333, 8.619353706195527]","[11.84740950620809, 9.507482003264263, 10.06900369837952, 9.537538428107698, 17.400650401343743]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.1568037296856795, 2.448331166366593, 1.8099112135536313, 0.6767464935945232, 4.3548098323548015]","[29.864826, 24.06272, 25.46416, 23.865679, 44.597176]","[0.22681770833333334, 0.2462638888888889, 0.20068098958333333, 0.22554904513888888, 0.1546853298611111]"
DELT3,"[9.766050684964826, 14.221607902708165, 6.294866506296069, 6.898378140412683, 0.6852811644303021]","[6.700295404606862, 6.7450166245584615, 7.1109123409509705, 5.4132166581631544, 4.796316124028205]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.9732729048811017, 3.799667438625117, 2.48261725308886, 2.352855212939828, 0.3141652208048915]","[42.20778, 43.6878, 41.763973, 32.92691, 25.675333]","[0.08932725694444445, 0.23332986111111112, 0.13508420138888888, 0.14606336805555556, 0.2735373263888889]"
INFSP,"[28.691204853230154, 7.851188173873501, 0.939893750405421, 1.306747057525886, 7.2807145819370955]","[4.7396724750713455, 5.774786578352872, 4.4545037712609545, 5.1502217257146405, 2.6822140038380287]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.000977024335195864, 0.03595765069629353, 0.1032809048071952, 2.817279926029639, 0.026787918642300346]","[40.68191, 44.01285, 34.13851, 42.16339, 20.728975]","[0.20290885416666668, 0.2179809027777778, 0.24727300347222222, 0.0256015625, 0.20437196180555556]"
LAT1,"[0.3769987601941942, 0.24398455227460047, 10.159202951194697, 1.763909977037839, 4.635399346248862]","[15.791574795615904, 20.473147418548177, 23.5515870023524, 14.593951197615514, 19.392318576454777]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.2947289824128774, 4.1464136581055415, 4.693725610691892, 1.8109112042443374, 3.843817494772419]","[18.777441, 25.588718, 27.195965, 16.62074, 22.963024]","[0.04383854166666667, 0.020319878472222223, 0.10550954861111111, 0.07967274305555555, 0.048989583333333336]"
LAT2,"[6.964403722495607, 0.8154149751821187, 1.6374954209139254, 3.192209235280634, 2.1769279790361757]","[21.49212745344956, 22.556361659225082, 17.649865839093366, 17.793819966016798, 10.514295090878134]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.946594018465553, 2.8950742320250065, 1.6435927096300293, 2.4423112809531804, 1.6873215402946595]","[36.76931, 38.71944, 29.463554, 30.162487, 18.005451]","[0.15101953125, 0.08729470486111111, 0.15595442708333335, 0.13484071180555557, 0.11605685763888889]"
LAT3,"[5.795270038619469, 3.94566806762921, 0.002766963502102371, 5.388248049923881, 8.875226504763027]","[13.886045649995786, 13.448810554860902, 9.46118710010583, 22.70528601632025, 20.57500673986728]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.2257571197581068, 1.7518232870553114, 0.8813789444288491, 3.546346509245956, 4.100506520661529]","[23.514065, 22.700481, 16.169672, 39.1664, 35.589054]","[0.1347443576388889, 0.13580078125, 0.09746354166666667, 0.08569314236111111, 0.08586241319444445]"
PECM1,"[17.612355192891172, 11.386401155407034, 0.8390187089547485, 14.669774884267655, 17.267087307716828]","[8.755972358512572, 8.462286967183104, 12.426885145542617, 16.808710169626412, 16.637034097998864]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.246891597137282, 1.3800100480474622, 1.9037455749239556, 3.032202540299247, 3.729496588863884]","[25.108477, 22.512064, 30.222914, 43.649273, 44.401047]","[0.22697135416666667, 0.25849956597222223, 0.08099305555555555, 0.13834114583333335, 0.11637586805555555]"
PECM2,"[1.9112720519224755, 5.46592669250083, 2.448407301245515, 1.8920691436912698, 1.8664531471771646]","[12.603183152739087, 16.289137936984936, 12.92703300810415, 16.364219897305155, 14.324322026938503]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.6315259597439578, 2.369206166906645, 2.8669410786006426, 1.995228935910268, 1.097771698832954]","[24.444893, 31.540705, 26.215378, 31.678331, 27.058666]","[0.13422135416666667, 0.14309071180555555, 0.08162282986111111, 0.1375390625, 0.20476302083333334]"
