muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
CORB,"[17.12607758575473, 19.433226083461825, 9.042465622843238, 24.1383917823047, 5.3345669404409275]","[3.038598384901346, 6.181240517926233, 6.604704497919104, 6.1570801309558085, 5.86000100325371]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.9939469382950668, 3.3676089469685406, 2.510223201312376, 3.811769398940922, 3.02825461795027]","[21.214638, 41.952965, 45.390026, 41.57289, 41.45186]","[0.2623129340277778, 0.14520399305555556, 0.07754991319444444, 0.1678615451388889, 0.038609375]"
DELT1,"[2.0532886435973907, 9.680743994583642, 42.894319356382255, 39.327574892215495, 44.95530620449615]","[6.288393559388191, 5.378827369946595, 8.716005651030724, 10.000505951918942, 7.937688143117919]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.175812167087077, 1.7640155455713034, 1.1753754398537768, 1.121284772420901, 3.7197840703346343]","[22.36495, 21.022688, 46.689445, 48.143257, 48.267475]","[0.06345269097222223, 0.09902430555555555, 0.18885633680555555, 0.19017057291666667, 0.14742447916666668]"
DELT2,"[1.0081857831680043, 5.807943875406622, 0.8698991625949333, 6.35631210129004, 0.7063996581309446]","[10.831923578863483, 16.55689280099864, 9.537538428107698, 17.523345158345712, 7.347756854157764]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.8047970501969737, 2.5522949502997148, 0.6767464935945232, 3.7183883243535365, 1.9135734271792013]","[28.13469, 41.535324, 23.865679, 44.91639, 19.767454]","[0.08639713541666667, 0.25098828125, 0.22554904513888888, 0.13435112847222222, 0.045756076388888886]"
DELT3,"[8.634468435015112, 2.4775377511813232, 5.505867660888489, 6.71756430565593, 0.6963626788849915]","[6.265507016538709, 8.418407533899275, 5.4316300624936265, 8.379775086302264, 9.097588652688643]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.1248956615166614, 1.2945807473063815, 1.4118470934846066, 2.6763351894867777, 0.8727197040144246]","[38.71975, 46.214085, 31.638882, 48.743866, 48.78523]","[0.12243967013888889, 0.17908203125, 0.28180512152777776, 0.14160980902777778, 0.1928046875]"
INFSP,"[7.851188173873501, 20.590597726056362, 20.84674630906371, 0.08729994489458903, 1.7606201612348187]","[5.774786578352872, 4.680509050537523, 4.345604444923169, 3.8631381104564735, 2.9988860342145185]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.03595765069629353, 3.731331818098238, 2.3388678124483, 3.2403253379628936, 2.0451236202537326]","[44.01285, 41.89927, 38.223682, 32.773186, 24.933664]","[0.2179809027777778, 0.07608680555555555, 0.10090885416666667, 0.01208029513888889, 0.01880598958333333]"
LAT1,"[2.5150733785867594, 0.8835320923599426, 2.4147419665787666, 10.159202951194697, 0.04673599538730855]","[20.747431164278794, 11.07022664885012, 18.79483196928891, 23.5515870023524, 17.604275975864986]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.6158949127312363, 1.8722045106170881, 3.3255860291549384, 4.693725610691892, 2.4785159458381]","[24.668013, 13.24195, 22.355692, 27.195965, 20.96485]","[0.04312586805555556, 0.039526475694444445, 0.04280121527777778, 0.10550954861111111, 0.04297612847222222]"
LAT2,"[0.17217655535690746, 5.627813418715309, 2.1769279790361757, 2.8439304539456387, 1.330100132078508]","[12.340450982615437, 20.313511615817, 10.514295090878134, 22.13536508415517, 11.503834899132485]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.7623340664916272, 3.9695573321708797, 1.6873215402946595, 3.9166650169788966, 1.4026201315263036]","[21.419691, 35.194633, 18.005451, 38.639233, 19.47942]","[0.07317057291666666, 0.10507335069444444, 0.11605685763888889, 0.07602647569444444, 0.12237065972222222]"
LAT3,"[3.6017330349696035, 7.712867523977229, 4.236631974768468, 0.5272844532942056, 1.1598016498611141]","[11.125959542153499, 21.473379349005228, 22.58580064138824, 11.581408755589797, 13.073721866415308]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.220428553439409, 3.952670527105505, 2.9791631795424363, 1.6612980793602243, 2.407492664160677]","[19.483805, 37.120125, 38.63496, 20.271551, 23.303574]","[0.06750607638888889, 0.08478342013888888, 0.098671875, 0.06667925347222223, 0.051196614583333334]"
PECM1,"[1.4230970095597968, 12.276436709275785, 2.587353234577403, 1.4913012538235186, 18.437776101848836]","[19.94002477559871, 8.595072461404524, 20.41979853159887, 9.960059202836451, 9.5249009394884]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.40430889793088, 2.382807352126565, 1.23727007628786, 1.5449996088442188, 2.3269567067418446]","[48.858017, 23.967985, 47.977684, 24.3825, 27.072975]","[0.0735959201388889, 0.12447743055555556, 0.17261501736111112, 0.08197916666666667, 0.23181727430555554]"
PECM2,"[5.46592669250083, 4.548465025436194, 2.448407301245515, 3.4297558176421177, 1.8664531471771646]","[16.289137936984936, 17.672811614526893, 12.92703300810415, 19.117937781781215, 14.324322026938503]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.369206166906645, 1.2139170107204431, 2.8669410786006426, 2.624054598853932, 1.097771698832954]","[31.540705, 33.00817, 26.215378, 37.174362, 27.058666]","[0.14309071180555555, 0.28122743055555555, 0.08162282986111111, 0.13011935763888888, 0.20476302083333334]"
PECM3,"[0.33377940347101465, 0.14684048027135077, 1.7941160587459244, 1.4564968643921965, 3.934580674198317]","[8.601140630173246, 18.955376408116727, 17.416558929810527, 17.57928317180207, 12.541051254019859]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.7880105493767653, 3.123768393541506, 4.224659595711225, 2.0477515210576613, 1.4214387708641212]","[22.05318, 50.12632, 47.041298, 45.329494, 31.766973]","[0.18019574652777778, 0.10569618055555556, 0.08209635416666666, 0.1609626736111111, 0.32154644097222224]"
SUBSC,"[7.305797977084137, 0.4357143748153298, 5.52555124766975, 1.0345816478129564, 5.319152324387146]","[3.8644966760066444, 3.7995355073852464, 6.298884819061433, 5.899742466647014, 3.3163222325762702]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.661076329196685, 1.204633446196144, 2.0246598065335975, 1.3142816355093323, 1.7007992155194265]","[26.026028, 23.584604, 39.547848, 36.096287, 21.668049]","[0.03271050347222222, 0.03957855902777778, 0.08724956597222222, 0.0632052951388889, 0.07656901041666667]"
SUPSP,"[2.240099048947604, 7.688876642393801, 4.868072016693726, 5.957989221883638, 0.8215576685572117]","[2.6220251049113434, 3.9631087602078043, 2.0343105507601833, 2.352325332804593, 2.3116304895366113]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.2019324226294357, 2.9613422155493834, 1.5057661516727925, 1.647655232637371, 0.8262969276028875]","[26.265217, 42.00287, 21.794416, 25.196547, 22.611908]","[0.08742664930555556, 0.11150043402777778, 0.17954600694444445, 0.23970052083333335, 0.07538411458333333]"
