muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
TMAJ,"[5.98205196606842, 0.11808871134278931, 6.851021805308132, 4.325796813938112, 12.061036183084891]","[15.677196220726623, 18.13149012301919, 14.723099506548834, 18.842563228591537, 18.9500846447172]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.1873015474522006, 3.29934799311036, 2.209538917474445, 3.629418494581567, 3.177935904333384]","[30.242554, 36.620506, 28.546213, 37.678955, 37.215244]","[0.17209461805555556, 0.07462803819444444, 0.18705815972222223, 0.08633940972222222, 0.2707174479166667]"
TMIN,"[6.97278844540447, 10.583769734065498, 7.4913251888119365, 11.708535731693635, 12.25562240148506]","[5.96099929434154, 3.169422487214102, 4.57113972321078, 3.1168614325929473, 1.4185886873924378]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.092409938023353, 0.8711656063638995, 1.1095858438587178, 0.8722666196370832, 1.5567592771522567]","[43.93389, 39.15397, 35.71274, 41.96789, 38.626774]","[0.01321701388888889, 0.25123090277777776, 0.12800477430555557, 0.28386371527777776, 0.12498654513888889]"
ANC,"[1.6074265918650674, 4.405037523805291, 0.4881485160607646, 6.332185270331966, 3.1436123208716946]","[5.643230958104631, 8.13005235276113, 5.467150642470949, 8.598001814942968, 6.418961827427011]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.488203563619562, 3.613530593302561, 1.9622937948290278, 4.648778669522392, 1.8920929922626293]","[27.409212, 40.498234, 27.309395, 43.28881, 31.087313]","[0.11580208333333333, 0.09215494791666666, 0.08205381944444444, 0.08729383680555555, 0.1330859375]"
BIClong,"[0.004686690761854351, 6.320143387677561, 3.659259088246886, 5.075020863828245, 1.3057378624764322]","[3.422774733342774, 4.084793362389645, 4.662161961081853, 3.3509872036601527, 3.233930835389542]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.062646609344744, 2.4315976603623026, 2.3218572972968623, 1.9363353597079138, 1.1406901208074134]","[25.176435, 33.323208, 36.390076, 27.24173, 24.359674]","[0.09295876736111111, 0.17124348958333332, 0.07590451388888889, 0.17521831597222223, 0.09233723958333333]"
BICshort,"[5.424933390554212, 7.476137608151442, 9.595956437719138, 15.30679176959854, 39.10367433133228]","[10.0214214960865, 10.007155514479988, 6.900461869865417, 5.885705246499447, 6.930445619707438]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.17969136031043154, 3.9965263131590487, 2.2446313244153635, 0.9470829682461459, 1.7136176527975222]","[36.600178, 41.216705, 29.817968, 27.629925, 43.22021]","[0.29045703125, 0.06593315972222222, 0.13920442708333333, 0.21243880208333332, 0.21095703125]"
BRA,"[0.8581071314159843, 0.08138531280882688, 9.968445701116243, 0.04385581106341796, 1.3598261987127813]","[16.286000491254775, 8.764867590018708, 18.003444523028087, 9.318648185385713, 17.830390582644196]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.6586481267948403, 2.0020053976417937, 3.921690777612692, 1.9616197367245034, 1.3422242509647675]","[40.882618, 23.700758, 47.181816, 25.037046, 45.324413]","[0.2171618923611111, 0.07869661458333334, 0.2369652777777778, 0.08325954861111111, 0.16647482638888889]"
BRD,"[4.682520551097946, 1.5210561118039987, 1.59795487917712, 1.452630774938168, 2.0684157553251055]","[4.798011689030867, 6.018265495567455, 10.59961070750085, 10.15095402714167, 5.194997293339451]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.019564842820065, 2.2509833101798282, 3.0163714552478984, 1.4472405966168131, 1.468455086811414]","[20.439245, 25.985596, 44.996124, 41.663105, 21.846882]","[0.3009722222222222, 0.08733072916666666, 0.10038802083333333, 0.15625824652777778, 0.12528385416666668]"
ECRL,"[3.476176807334552, 2.9987528303872217, 1.7839727273850734, 2.0145400135758074, 1.4751742545858697]","[13.077859081857596, 10.000333724660369, 12.233146354300741, 12.746355512380655, 8.244212353057597]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.6097483684275558, 2.731845148393697, 1.1972756066487908, 2.2172264271732236, 1.6511452437554723]","[38.08233, 30.555813, 35.597424, 38.03047, 24.781542]","[0.2856944444444444, 0.09474131944444444, 0.176578125, 0.11799348958333333, 0.10845659722222223]"
PT,"[5.665243063389074, 9.959693349940826, 11.709816105580195, 3.366300357231978, 1.9986752131802596]","[14.384521819315736, 14.062171069360026, 9.849354219189475, 13.29433186889096, 7.040400475138136]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.8216102173848974, 4.118632263796795, 2.977986953425144, 4.278555356609325, 1.7504885778009982]","[47.056618, 46.154606, 32.238846, 44.334145, 22.951849]","[0.09084895833333333, 0.10159114583333333, 0.30730425347222223, 0.07284201388888889, 0.09129340277777778]"
TRIlat,"[3.7794616737449793, 15.52099993883336, 3.7621978907411027, 2.9941372661284813, 2.761625559202969]","[11.791319814379113, 18.099992303014425, 13.850187138380736, 11.735935926563467, 17.943206683959602]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.9517545753962264, 4.12419972863822, 1.11607297348597, 1.642524408144873, 2.2007182686800553]","[31.53862, 46.47889, 34.80122, 30.216133, 46.173573]","[0.07814800347222223, 0.28315842013888887, 0.25950868055555554, 0.1258224826388889, 0.12406510416666666]"
TRIlong,"[0.6547461310044991, 5.183634728919798, 7.016874157485313, 6.063139752793457, 4.164591064068523]","[9.823249504321536, 6.718663357157252, 13.3037464143366, 9.834079741045235, 10.095581793043507]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.4857370964246526, 0.4143146472246604, 3.1218200457362926, 0.9552292705407904, 0.04422141104719213]","[27.12141, 21.552713, 42.50658, 30.735304, 29.048359]","[0.11039930555555555, 0.06687413194444444, 0.043280381944444446, 0.06862196180555556, 0.14027821180555555]"
TRImed,"[1.6840858792983262, 0.5953253768168452, 3.1406258754325016, 1.1636153609635116, 4.438557192611908]","[7.764454262059113, 14.278332751139407, 12.29749666800589, 9.315802837925052, 11.78548685496641]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.642368012688887, 0.4883155279144944, 2.258943587309373, 1.1213060237458743, 1.503831727179514]","[19.338484, 35.369457, 31.77558, 23.724276, 29.505875]","[0.2217925347222222, 0.22187586805555556, 0.10336328125, 0.12488411458333333, 0.24017708333333335]"
