muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
CORB,"[2.717099041880905, 6.049910286606416, 19.433226083461825, 2.337580318095572, 12.234402858908272]","[3.332986422892267, 5.851558347220668, 6.181240517926233, 4.3316013215783915, 5.498151488815067]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.6277980741187376, 4.0828189415676786, 3.3676089469685406, 1.9424812854609845, 1.99188674208671]","[22.526604, 42.349228, 41.952965, 30.57063, 37.024635]","[0.16104730902777778, 0.023335503472222224, 0.14520399305555556, 0.04717578125, 0.18499652777777778]"
DELT1,"[2.0532886435973907, 6.891450430087387, 42.894319356382255, 6.4745025696205065, 7.271860461753231]","[6.288393559388191, 9.002812891767496, 8.716005651030724, 6.152998151847907, 6.911169024374218]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.175812167087077, 3.254687535599687, 1.1753754398537768, 0.12072317023945356, 0.08434813958261]","[22.36495, 32.547558, 46.689445, 20.386417, 22.847094]","[0.06345269097222223, 0.056366319444444445, 0.18885633680555555, 0.2305993923611111, 0.23494487847222223]"
DELT2,"[1.4780028268309202, 5.751166775944384, 6.001320450759421, 1.1676363760252961, 3.7157733918887192]","[14.666899997332951, 12.756834863062402, 9.507482003264263, 17.315668758183307, 10.06900369837952]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.5854064618524184, 2.5745648425718475, 2.448331166366593, 0.699917831678686, 1.8099112135536313]","[38.203075, 32.2414, 24.06272, 42.924667, 25.46416]","[0.08214670138888888, 0.21881987847222223, 0.2462638888888889, 0.30760894097222224, 0.20068098958333333]"
DELT3,"[4.8312850244080385, 8.634468435015112, 0.6963626788849915, 1.7697979751466573, 6.3183513320697475]","[3.2950610036044683, 6.265507016538709, 9.097588652688643, 4.020492631484957, 4.217974866677211]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.3216163940087693, 3.1248956615166614, 0.8727197040144246, 0.6038429188783363, 1.7304973983184762]","[20.133617, 38.71975, 48.78523, 22.243492, 25.85419]","[0.23179991319444446, 0.12243967013888889, 0.1928046875, 0.23419270833333333, 0.23013802083333335]"
INFSP,"[31.196979658942233, 0.21353224483601707, 0.08729994489458903, 0.4239898332154528, 14.75171482806748]","[4.695983177088556, 4.1431042516656955, 3.8631381104564735, 3.4441952453688933, 5.056109528224734]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.7982062065463955, 2.5034781100379107, 3.2403253379628936, 0.06119407908839647, 0.6096277588894399]","[44.821613, 34.173973, 32.773186, 26.383696, 39.90033]","[0.09306076388888888, 0.021125, 0.01208029513888889, 0.28062586805555556, 0.15358072916666668]"
LAT1,"[10.159202951194697, 8.923532510727863, 2.1661808762925148, 1.0772763428371572, 0.7174627453802067]","[23.5515870023524, 17.620019022481515, 14.402115153710637, 13.688580749182254, 23.578484669746274]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.693725610691892, 3.49336208829468, 2.552916333040652, 2.3885356007102425, 4.436016015392832]","[27.195965, 20.118711, 17.040976, 16.452026, 29.000273]","[0.10550954861111111, 0.17344835069444445, 0.04621918402777778, 0.03657074652777778, 0.025790364583333333]"
LAT2,"[0.08235563163729154, 1.5646982926734303, 6.31468209136237, 1.8583943016000362, 2.9833194474697677]","[12.05148618905189, 11.51046952258596, 18.019407327968725, 23.61397855844088, 22.448333529933702]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.7587494085017603, 2.224648051104883, 3.0579055546841785, 4.120429246444256, 4.444725187198847]","[19.981373, 20.262312, 30.476292, 41.411568, 39.637207]","[0.15335633680555555, 0.06800520833333333, 0.22171484375, 0.06762803819444445, 0.06490321180555556]"
LAT3,"[5.795270038619469, 3.389610901240271, 3.470839845983715, 3.6017330349696035, 6.812769845530061]","[13.886045649995786, 19.60015043416645, 24.810597942093075, 11.125959542153499, 19.345629468555423]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.2257571197581068, 1.686141335195971, 4.849863300197291, 2.220428553439409, 2.9489790550367614]","[23.514065, 32.68557, 44.253, 19.483805, 32.856934]","[0.1347443576388889, 0.17147222222222222, 0.050666666666666665, 0.06750607638888889, 0.12157986111111112]"
PECM1,"[17.612355192891172, 17.267087307716828, 16.695652321397276, 1.4230970095597968, 4.43063079161065]","[8.755972358512572, 16.637034097998864, 16.48619799953072, 19.94002477559871, 10.32451425512069]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.246891597137282, 3.729496588863884, 3.249960110582238, 3.40430889793088, 1.043014302521835]","[25.108477, 44.401047, 43.481895, 48.858017, 25.209013]","[0.22697135416666667, 0.11637586805555555, 0.144421875, 0.0735959201388889, 0.16339713541666667]"
PECM2,"[6.793944752565336, 1.8664531471771646, 0.5243484540046879, 3.329358521172928, 4.548465025436194]","[15.75007229385072, 14.324322026938503, 11.597228409302318, 20.769108331123082, 17.672811614526893]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.138918735646643, 1.097771698832954, 0.44882975970393524, 4.22859025228772, 1.2139170107204431]","[31.18944, 27.058666, 21.570639, 41.804485, 33.00817]","[0.10674175347222223, 0.20476302083333334, 0.2740920138888889, 0.0878828125, 0.28122743055555555]"
PECM3,"[5.935802976777692, 1.4564968643921965, 0.03421897092552584, 4.029714253187407, 4.881228572594497]","[14.094537508424988, 17.57928317180207, 8.519481504590361, 16.880506334657845, 7.732996961008622]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.3028372077569275, 2.0477515210576613, 1.520369650770833, 1.9610533384662665, 1.9477707468265375]","[36.129387, 45.329494, 22.653082, 43.039253, 20.208498]","[0.25287586805555556, 0.1609626736111111, 0.09866927083333334, 0.23331076388888888, 0.19639496527777778]"
SUBSC,"[5.51090839835606, 1.6501287469215296, 4.698088701917074, 3.049786315943276, 5.52555124766975]","[4.263502425126076, 3.8404029904788595, 5.905962902659675, 7.96868928392025, 6.298884819061433]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.5650973714379681, 0.7866828456783498, 2.008445992605881, 1.32208736051673, 2.0246598065335975]","[27.118711, 23.51355, 37.14858, 48.44663, 39.547848]","[0.2637552083333333, 0.09916710069444444, 0.06545616319444444, 0.12949175347222222, 0.08724956597222222]"
SUPSP,"[8.194018770159293, 4.989804923452503, 2.240099048947604, 2.9616792450952207, 5.957989221883638]","[3.4773523929063934, 4.11741024295907, 2.6220251049113434, 2.9024569122181596, 2.352325332804593]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.6886498147234805, 2.01989141368577, 1.2019324226294357, 1.2316802583375746, 1.647655232637371]","[38.334816, 41.773754, 26.265217, 29.105385, 25.196547]","[0.07344444444444445, 0.12107986111111112, 0.08742664930555556, 0.12497352430555556, 0.23970052083333335]"
TMAJ,"[0.5889048275863225, 9.39243450360521, 3.9068882633497406, 5.98205196606842, 0.3122961591702502]","[21.321464782255727, 21.774024934657042, 16.463053413885376, 15.677196220726623, 10.26320913361744]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.5238519950711598, 4.33946546674054, 2.571370030921289, 2.1873015474522006, 1.9309027159183796]","[41.643776, 43.29553, 32.30408, 30.242554, 20.757427]","[0.11996831597222223, 0.10739105902777778, 0.11582986111111111, 0.17209461805555556, 0.07307595486111111]"
TMIN,"[7.4913251888119365, 9.279055593145666, 1.1318527466385966, 7.681730147166464, 4.301207642578374]","[4.57113972321078, 5.478418520759722, 4.385284312272098, 5.51706361161155, 3.051964854954344]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.1095858438587178, 2.2736400457328507, 0.4795446228945174, 0.9133351600314674, 0.531499303658152]","[35.71274, 44.54253, 27.65055, 39.071545, 21.777395]","[0.12800477430555557, 0.07134895833333334, 0.11769140625, 0.1725954861111111, 0.16484288194444444]"
ANC,"[1.7531251418499494, 0.8683406381195695, 0.9579995950436366, 3.752636579971089, 1.4648434966333745]","[7.102233178581738, 3.996507144249533, 6.1468980546056375, 7.022888699050298, 9.057902961140243]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.07725602771374, 1.7853120187366618, 1.9200726022091188, 2.1838546364956826, 0.8979863695718682]","[34.759182, 20.201763, 30.328766, 34.057076, 42.748592]","[0.10463932291666667, 0.0749453125, 0.09388585069444444, 0.1366072048611111, 0.18994574652777776]"
BIClong,"[1.27334783604881, 5.075020863828245, 1.0575121948887354, 0.004686690761854351, 4.945840653200266]","[6.243516241967172, 3.3509872036601527, 2.9053376618057585, 3.422774733342774, 4.6710959415372395]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.7814407945159882, 1.9363353597079138, 0.8521392052321455, 1.062646609344744, 1.5775871432241957]","[46.191036, 27.24173, 21.673206, 25.176435, 36.13943]","[0.10319444444444445, 0.17521831597222223, 0.10757074652777777, 0.09295876736111111, 0.23352083333333334]"
