muscle_name,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
SUBSC,"[7.305797977084137, 5.52555124766975, 1.0050644189457074, 3.647449618933731, 6.193067578711881]","[3.8644966760066444, 6.298884819061433, 7.815215695624602, 8.051187685928358, 5.867024631765311]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.661076329196685, 2.0246598065335975, 0.450370896611064, 1.2418195044663298, 1.7314095331609478]","[26.026028, 39.547848, 46.492996, 48.903915, 36.7738]","[0.03271050347222222, 0.08724956597222222, 0.24599001736111112, 0.18554340277777778, 0.30509765625]"
SUPSP,"[1.533077441062046, 3.5120182068275163, 11.165718992256833, 5.435278496247237, 6.206155156496342]","[3.3229819405384697, 2.037254470399429, 2.8392517864700393, 3.1254040307218744, 3.5436244539694526]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.226290903844168, 1.1601532948290585, 2.883731219214325, 1.4979196847064524, 2.459535460603818]","[33.638073, 21.110973, 32.377827, 32.117752, 37.188435]","[0.031950086805555555, 0.1580564236111111, 0.26681163194444446, 0.24543446180555556, 0.1090234375]"
TMAJ,"[0.5889048275863225, 8.007810455089151, 0.670671416965682, 5.98205196606842, 4.850904040920099]","[21.321464782255727, 21.727724568915065, 18.033362484650933, 15.677196220726623, 18.01842865667725]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.5238519950711598, 2.4175092216572502, 3.6690184293335326, 2.1873015474522006, 3.9128450962692356]","[41.643776, 41.303093, 36.731644, 30.242554, 36.37824]","[0.11996831597222223, 0.24339409722222222, 0.06635503472222222, 0.17209461805555556, 0.0753984375]"
TMIN,"[7.681730147166464, 10.389980269000134, 1.5307035430176796, 4.8256287496608685, 9.279055593145666]","[5.51706361161155, 4.9934769669724295, 3.183077635727159, 7.71076770879917, 5.478418520759722]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.9133351600314674, 1.4214082743163918, 0.9006127248280034, 0.9069188802521875, 2.2736400457328507]","[39.071545, 45.072178, 20.592335, 48.73709, 44.54253]","[0.1725954861111111, 0.1326953125, 0.047638020833333336, 0.1423771701388889, 0.07134895833333334]"
ANC,"[1.072877124721856, 0.9415752791752716, 0.3794589592041273, 1.4648434966333745, 0.04775668121623866]","[8.798249403178227, 7.395325006270973, 5.914568384009257, 9.057902961140243, 9.686949336958318]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.3522283425470345, 3.4900940468385, 1.8086932796057291, 0.8979863695718682, 2.2197187266806666]","[42.080032, 37.71491, 29.262793, 42.748592, 47.31041]","[0.13781163194444446, 0.06899826388888888, 0.08999522569444444, 0.18994574652777776, 0.10340885416666666]"
BIClong,"[6.430340185523266, 6.172791551032868, 10.888504024495042, 0.5107634645013928, 5.075020863828245]","[3.271679106531013, 2.97248312643659, 5.079109038660455, 3.438710426220052, 3.3509872036601527]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.3620067410774555, 2.239820251954719, 3.442939195313835, 0.8397660211040956, 1.9363353597079138]","[27.562407, 25.246275, 42.86843, 25.235228, 27.24173]","[0.17676909722222223, 0.17831553819444446, 0.20839800347222223, 0.11359722222222222, 0.17521831597222223]"
BICshort,"[4.310311453858091, 6.061058013593879, 15.30679176959854, 0.018263795657661674, 31.275648573178735]","[12.407861865818134, 10.099785574484422, 5.885705246499447, 8.792741255058205, 7.475242125661625]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.2689564546492602, 4.139042124658177, 0.9470829682461459, 1.398545150585907, 0.788755424491631]","[44.574753, 41.089874, 27.629925, 31.863274, 40.167778]","[0.29808246527777776, 0.064515625, 0.21243880208333332, 0.14577951388888888, 0.22963107638888888]"
BRA,"[3.3182414820744413, 1.1436102822602159, 2.1998011460518274, 0.2707149964422122, 0.832569307044217]","[19.16813199314748, 12.639144197825441, 12.080668613586347, 14.261606596363023, 19.77708814852152]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.7943169449572791, 1.2633298215037552, 1.069136668348205, 3.4125827240744497, 1.193303816068855]","[48.828167, 32.416264, 30.697605, 38.70086, 50.06773]","[0.17109505208333334, 0.143359375, 0.18205902777777777, 0.07638845486111111, 0.17722005208333333]"
BRD,"[2.605472688503486, 5.088722482679163, 3.0810479805956845, 2.1756579633684314, 0.6239435887723452]","[11.395188227411648, 8.505711859853692, 8.577834654015927, 8.24082213776243, 8.448499504225163]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[4.238781413099998, 3.064311450994398, 3.6197213681601363, 2.6754335153340394, 3.0237057330327533]","[49.22068, 36.183167, 37.316425, 35.161827, 36.592857]","[0.0865859375, 0.1245329861111111, 0.08380078125, 0.09806380208333333, 0.082625]"
ECRL,"[1.4998558672879732, 2.0145400135758074, 5.940410087832117, 5.5291581256396345, 5.990854382439228]","[7.124773563396426, 12.746355512380655, 11.62147676865041, 9.177654222533503, 8.698401077768857]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.7934598743825414, 2.2172264271732236, 2.3805030523259143, 2.480341098377429, 2.309683780895379]","[21.739658, 38.03047, 34.266968, 27.513885, 25.903736]","[0.09385416666666667, 0.11799348958333333, 0.29859895833333333, 0.2528142361111111, 0.3084040798611111]"
PT,"[13.353827225237584, 0.12743637157693044, 4.534609692806523, 1.3378807207969103, 0.7066767487932086]","[11.094031823394307, 14.836509405704186, 6.35119835381728, 7.8306089925711575, 8.567955245134971]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[3.521429979603407, 2.020020683699225, 2.1332289794634605, 1.0350266185315842, 2.419389124890091]","[36.474247, 46.91109, 21.116941, 24.662086, 28.310637]","[0.29176302083333333, 0.12182291666666667, 0.08592751736111111, 0.13425130208333333, 0.07706336805555555]"
TRIlat,"[5.914030855116804, 6.0252595385630325, 6.001362213614973, 4.177227817099725, 5.999784998806629]","[11.58450911200449, 16.444677509239, 16.639969537142033, 9.067763533306973, 9.228454691266986]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.0507200561611523, 2.0902745363109156, 2.4813653647989113, 1.9030952936601229, 1.8073450396608652]","[29.789198, 41.839813, 42.718006, 23.686623, 23.701223]","[0.15933767361111112, 0.1822578125, 0.1386579861111111, 0.10726475694444444, 0.2070759548611111]"
TRIlong,"[17.656557137603443, 3.598793480027041, 16.177463349232085, 1.9137803705884, 2.5554805359117374]","[12.055385277200621, 12.498389151964115, 4.370645044786883, 12.797146793316854, 7.52828430177642]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.5809316968815972, 1.0782331188633303, 0.5889370202387031, 0.42159978515392327, 1.735452125187693]","[44.86976, 35.80039, 24.086985, 34.625694, 22.945177]","[0.035229600694444446, 0.10775, 0.006048177083333333, 0.18395920138888888, 0.05576171875]"
TRImed,"[0.5412830719887332, 0.9849631266594763, 0.34783337858596397, 8.24273475381612, 11.403839257750192]","[12.747526539632732, 16.795307911228285, 7.731305480858661, 18.28345623957166, 17.439538297073305]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1.6374265408423976, 2.0082900827783265, 1.7146312517470936, 3.689939090722226, 3.9413446260191094]","[32.776943, 42.98133, 20.59667, 46.859684, 44.410362]","[0.10763585069444444, 0.11536111111111111, 0.07245138888888888, 0.1246328125, 0.19914149305555556]"
